,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W044519,2024-01-04,L3,Diazepam,Not Stated,Blue,Tablet,Oral,"Paranoia, Agitation, Violence/Aggression",Bromazolam,,53.4106,-2.9779
W045000,2024-01-04,LL13,Xanax,Not Stated,Red,Tablet,Oral,"Enhanced Senses, Relaxed, Irregular Heartbeat",Bromazolam,,52.9917619047619,-2.9116809523809524
W044817,2024-01-04,IP2,Diazepam,Martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.0452,1.1247
W044757,2024-01-04,IV1,Street benzo,Street benzo,White,Tablet,Oral,"Relaxed, Chest Pains, Irregular Heartbeat, Nosebleeds, Paranoia, Panic Attack",No Active Component Identified,,57.4836,-4.2330359375
W044526,2024-01-04,L3,Diazepam,Bensedin (valium?),White,Tablet,Oral,Not Stated,Diazepam,,53.4106,-2.9779
W044732,2024-01-04,TN26,Nitrazepam,Nitrazepam,White,Tablet,Not Stated,Not Stated,Nitrazepam,,51.111894444444445,0.7513000000000001
W044731,2024-01-04,TN26,Lorazepam,Ativan Lor,White,Tablet,Not Stated,Not Stated,Lorazepam,,51.111894444444445,0.7513000000000001
W044805,2024-01-04,BN10,Ksalol alprazolam,Ksalol alprazolam,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,50.7927,-0.0065
W044689,2024-01-04,NG92,Xanax,XAnax,White,Tablet,Oral,"Increased Confidence, Relaxed, Confusion",Bromazolam,"Pregabalin, Heroin, Noscapine",52.919140000000006,-1.24548
W044807,2024-01-04,BN10,Ksalol alprazolam,Ksalol alprazolam,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,50.7927,-0.0065
W045001,2024-01-04,LL13,Xanax,Not Stated,White,Tablet,Not Stated,Not Stated,Bromazolam,,52.9917619047619,-2.9116809523809524
000235375,2024-01-04,NP23,Diazepam,Not Stated,Blue,Tablet,Oral,Relaxed,Clonazolam,,51.7771,-3.2079
W044520,2024-01-04,L3,Diazepam,Dextripam (Diazepam),Blue,Tablet,Oral,"Relaxed, Memory Loss, Confusion",Flualprazolam,,53.4106,-2.9779
W044527,2024-01-04,L2,Diazepam,Martin dow (valium),Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed",Diazepam,,53.4106,-2.9779
W044815,2024-01-04,HA9,Clonazepam,Not Stated,White,Tablet,Oral,Relaxed,Clonazepam,,51.5531,-0.3023
W044992,2024-01-04,CF83,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,51.59288333333333,-3.2333833333333337
W044792,2024-01-04,PR1,Xanax/alprazolam,Xanax (alprazolam),White,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Array, Relaxed, Memory Loss",Bromazolam,,53.758225,-2.7229
W044999,2024-01-04,WA7,Diazepam,Diazepam Bensedin,White,Tablet,Oral,"Increased Confidence, Relaxed, Panic Attack",Diazepam,,53.324125,-2.7118
W044688,2024-01-04,NG92,Diazepam,Not Stated,White,Tablet,Oral,"Euphoria, Relaxed","Metonitazene, Bromazolam, Heroin, Noscapine","Paracetamol, Caffeine",52.919140000000006,-1.24548
W044814,2024-01-04,FK8,Xanax,Not Stated,Blue,Tablet,Oral,"Increased Confidence, Relaxed",Bromazolam,,56.12892702702703,-4.228913513513514
W044525,2024-01-04,BA14,Xanax,Xanax,White,Tablet,Not Stated,Not Stated,Bromazolam,,51.32102,-2.1876733333333336
