,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W044830,2024-01-04,G72,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Levamisole","Norcocaine, Procaine",55.80098,-4.12986
W044825,2024-01-04,G72,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Levamisole","Procaine, Norcocaine",55.80098,-4.12986
W044822,2024-01-04,G72,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,55.80098,-4.12986
W044833,2024-01-04,DY10,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,Norcocaine,52.3848,-2.212788888888889
W045030,2024-01-04,PO77,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,,50.8953875,-1.0532125
W044826,2024-01-04,G72,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Levamisole",Procaine,55.80098,-4.12986
W044828,2024-01-04,G72,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Levamisole",Procaine,55.80098,-4.12986
W044765,2024-01-04,CF10,Crack,Not Stated,Colourless,Solid,Not Stated,Not Stated,Cocaine,,51.48,-3.18
100002911,2024-01-04,G51,Crack Cocaine,Not Stated,White,Crystalline,Smoked,"Increased Stamina, Irregular Heartbeat, Memory Loss","Cocaine, Phenacetin",,55.8633,-4.3124
W044823,2024-01-04,G72,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,55.80098,-4.12986
W045103,2024-01-10,DY10,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,52.3848,-2.212788888888889
W045063,2024-01-10,DY10,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,Norcocaine,52.3848,-2.212788888888889
W045077,2024-01-10,E14,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Increased Libido, Nosebleeds, Agitation",Cocaine,,51.50563529411765,-0.0187647058823529
