,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W044767,2024-01-04,DE45,MDMA,crystal MDMA,Colourless,Crystalline,Not Stated,Not Stated,MDMA,,53.21575555555555,-1.679
W044778,2024-01-04,HG15,MDMA,Not Stated,"White, Pink",Granules,Oral,No Effect,Caffeine,,53.99700000000001,-1.5357666666666667
W044760,2024-01-04,N7,MDMA,MDMA,White,Powder,Not Stated,Not Stated,MDMA,,51.5491,-0.1205142857142857
W045003,2024-01-04,KT13,MDMA,Not Stated,Grey,Tablet,Oral,Euphoria,MDMA,,51.3722,-0.453
W044769,2024-01-04,DE45,MDMA,MDMA,Brown,Crystalline,Not Stated,Not Stated,Caffeine,,53.21575555555555,-1.679
W045002,2024-01-04,KT13,MDMA,Not Stated,Orange,Tablet,Oral,"Euphoria, Increased Confidence, Enhanced Senses, Relaxed",MDMA,,51.3722,-0.453
W044819,2024-01-04,EH1,MDMA,Not Stated,"White, Yellow",Crystalline,Array,"Increased Confidence, Empathy, Paranoia, Insomnia",MDMA,,55.9521,-3.1965
W045126,2024-01-10,W5,MDMA,Not Stated,"White, Brown",Crystalline,Not Stated,Not Stated,MDMA,Ketamine,51.516333333333336,-0.2851888888888889
W047399,2024-01-10,NR34,MDMA,Not Stated,White,Crystalline,Not Stated,Not Stated,MDMA,,52.42453142857143,1.58624
W045064,2024-01-10,CF3,MDMA,Not Stated,Brown,Powder,Not Stated,Not Stated,"MDMA, Phenmetrazine",,51.52382222222222,-3.0891333333333333
W045109,2024-01-10,EX4,MDMA,MDMA,White,Crystalline,Oral,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Empathy, Auditory Hallucinations",MDMA,,50.73776,-3.5296999999999996
W047441,2024-01-11,SW3,Ecstacy,M5 BMW,Blue,Tablet,Not Stated,Not Stated,MDMA,,51.487975000000006,-0.165875
W047540,2024-01-15,NP20,Ecstacy,Ecstacy,Orange,Tablet,Not Stated,Not Stated,MDMA,,51.5877,-2.9984
000231922,2024-01-15,LL12,Ecstacy,Not Stated,Orange,Tablet,Not Stated,Not Stated,MDMA,,53.104020000000006,-3.0036
W047493,2024-01-15,E9,MDMA,Not Stated,Yellow,Tablet,Not Stated,Not Stated,MDMA,,51.5394,-0.0414
W047541,2024-01-15,NP20,Ecstacy,Ecstacy,Orange,Tablet,Not Stated,Not Stated,MDMA,Caffeine,51.5877,-2.9984
W047579,2024-01-16,MK45,Ecstacy,Ecstacy,Orange,Tablet,Not Stated,Not Stated,MDMA,,52.02854090909091,-0.4638772727272727
W047636,2024-01-18,SW9,MDMA,Not Stated,"White, Yellow",Crystalline,Not Stated,Not Stated,MDMA,,51.474,-0.1168
W047607,2024-01-18,SE92,MDMA,Not Stated,White,Crystalline,Not Stated,Not Stated,MDMA,,51.44698000000001,0.0542799999999999
W047655,2024-01-18,DY10,MDMA,Vevo MDMA,Brown,Crystalline,Not Stated,Not Stated,MDMA,,52.3848,-2.212788888888889
W047752,2024-01-23,SE18,MDMA,MDMA,"Colourless, Yellow",Crystalline,Not Stated,Not Stated,MDMA,,51.48716666666667,0.0740666666666666
W047673,2024-01-23,RG1,MDMA,Not Stated,Brown,Powder,Not Stated,Not Stated,MDMA,,51.4563,-0.9711
