,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W047418,2024-01-10,NP12,Zopiclone,Zopiclone tablet,White,Tablet,Oral,"Increased Confidence, Relaxed",Zopiclone,,51.6678,-3.2075
W045119,2024-01-10,SW33,Zolpidem tartrate,Zolpidem,White,Tablet,Oral,"Euphoria, Empathy, Visual Hallucinations, Relaxed, Depression",Zolpidem,,51.487975000000006,-0.165875
W045124,2024-01-11,DL12,Zopiclone,Zopiclone,White,Tablet,Not Stated,Not Stated,Zopiclone,,54.560157142857136,-1.9837321428571428
W047376,2024-01-11,S75,Zopiclone,Zopiclone,White,Tablet,Not Stated,Not Stated,Flualprazolam,,53.56098461538461,-1.5391307692307694
W047535,2024-01-15,BL9,Zopiclone,Zopiclone,Blue,Tablet,Not Stated,Not Stated,Zopiclone,,53.60243333333333,-2.298083333333333
W047519,2024-01-15,W1F,Zolpidem,Belbien Zolpidem,White,Tablet,Oral,"Loss of consciousness, Insomnia",Bromazolam,,51.5085,-0.1257
000040386,2024-01-16,CF83,Zopiclone,Zopiclone,White,Tablet,Oral,"Increased Confidence, Relaxed, Memory Loss, Depression",Zopiclone,,51.59288333333333,-3.2333833333333337
W047588,2024-01-16,GU27,Zopiclone,Zopisign,White,Tablet,Oral,"Relaxed, Tiredness",Zopiclone,,51.07171,-0.72636
000040374,2024-01-16,CF83,Zopiclone,Zopiclone,White,Granules,Oral,"Increased Confidence, Relaxed, Memory Loss, Depression",Zopiclone,,51.59288333333333,-3.2333833333333337
W047621,2024-01-18,DA1,Zopiclone,Zopiclone,White,Tablet,Oral,"Euphoria, Relaxed",Zopiclone,,51.4477,0.1994
W047700,2024-01-19,L3,Zopiclone,HAB Zopisign,White,Tablet,Oral,"Relaxed, Loss of consciousness",Zopiclone,,53.4106,-2.9779
000231292,2024-01-23,LL57,Zopiclone,Zopiclone,White,Tablet,Oral,"Relaxed, Confusion",Zopiclone,,53.203925000000005,-4.106675
W047549,2024-01-23,BT36,Zopiclone,Zopisign,Blue,Tablet,Not Stated,Not Stated,Zopiclone,,54.675533333333334,-5.9483
W047550,2024-01-23,BT36,Zopiclone,Zopisign,Blue,Tablet,Not Stated,Not Stated,Zopiclone,,54.675533333333334,-5.9483
W047950,2024-01-26,FY1,Zopiclone,Bensoz 4 less zopilcone,White,Tablet,Not Stated,Not Stated,Zopiclone,,53.8167,-3.05
W047947,2024-01-26,FY1,Zolpidem zoltrate ,Benzos 4 less zolpidem,White,Tablet,Not Stated,Not Stated,Zolpidem,,53.8167,-3.05
000039725,2024-01-26,LL55,Zopiclone,Not Stated,White,Tablet,Not Stated,Overdose,Zopiclone,,53.12915357142857,-4.195053571428572
W047974,2024-01-30,EX11,Zolpidem,Zolpidem Belbien Hemofarm,White,Tablet,Oral,Not Stated,Zolpidem,,50.7433,-3.2891166666666667
W047867,2024-01-30,SY8,Zolpidem,Not Stated,White,Tablet,Not Stated,Not Stated,Zolpidem,,52.36667333333334,-2.6940066666666667
W048072,2024-01-30,BS37,Zopiclone,Zopiclone,White,Tablet,Not Stated,Not Stated,Zopiclone,,51.53419375,-2.4391125
W047938,2024-01-31,BT34,Zopiclone,Zopiclone (Accord),White,Tablet,Oral,"Nausea, Insomnia",Zopiclone,,54.146416666666674,-6.121124999999999
W048024,2024-01-31,NR1,Zopiclone,Zopiclone tablets Zopisign,White,Tablet,Oral,"Relaxed, Memory Loss",Zopiclone,,52.6271,1.3072
W048137,2024-02-05,TN37,zolpidem tartrate,Teva,White,Tablet,Oral,Tiredness,Zolpidem,,50.87460000000001,0.5477
W048209,2024-02-06,RM17,Zolpidem,Belbien,White,Tablet,Oral,No Effect,Bromazolam,,51.47605,0.33135
W048192,2024-02-06,SA2,Zopiclone,Zopiclone,Blue,Tablet,Not Stated,Not Stated,Zopiclone,,51.61628,-4.04254
W048223,2024-02-09,DY13,Zopiclone,Zopiclone,White,Tablet,Oral,Relaxed,Zopiclone,,52.33356428571428,-2.2796285714285713
