,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W058679,12 Aug 2025,TD5,Tramadol,Tramol x -22,White,Tablet,"Oral, Smoked","Euphoria, Enhanced Senses, Visual Hallucinations, Chest Pains, Irregular Heartbeat, Nosebleeds, Nausea, Paranoia, Memory Loss, Agitation, Insomnia, Depression, Confusion",Tapentadol,Paracetamol,55.58069090909091,-2.412687878787879
W067515,07 Aug 2025,SA15,Heroin,Not Stated,Brown,Liquid,Intravenous,No Effect,"Paracetamol, Caffeine",,51.74003,-4.187250000000001
W067590,05 Aug 2025,EH48,heroin,Not Stated,Brown,Powder,"Oral, Smoked","Euphoria, Empathy, Relaxed, Chest Pains, Irregular Heartbeat, Confusion, Depression, Headache","Paracetamol, Caffeine, Noscapine, Heroin","6-MAM, 6-Acetylcodeine, Papaverine",55.91305714285714,-3.6746285714285714
W067554,05 Aug 2025,SW10,Dihydrocodeine,Dihydrocodeine,White,Tablet,Oral,Nausea,Dihydrocodeine,,51.4876,-0.1694
W063990,07 Aug 2025,AB41,heroin,Turkish Heroin,Brown,Powder,Not Stated,Not Stated,"Heroin, Noscapine, 6-MAM, Paracetamol, 6-Acetylcodeine, Papaverine",Caffeine,57.35964615384615,-2.199930769230769
W063988,07 Aug 2025,AB41,heroin,Afgan heroin,Brown,Powder,Not Stated,Not Stated,"Heroin, Noscapine, 6-MAM, 6-Acetylcodeine",Papaverine,57.35964615384615,-2.199930769230769
W067453,05 Aug 2025,EH47,Heroin,Not Stated,Brown,Powder,Intravenous,"Increased Strength, Relaxed, Breathlesness, Memory Loss, Confusion, Loss of consciousness","Paracetamol, Noscapine, Heroin, Caffeine, 6-MAM",,55.85647142857143,-3.669085714285714
W067452,05 Aug 2025,EH52,Heroin,Not Stated,Brown,Powder,Intravenous,"Increased Strength, Relaxed, Breathlesness, Memory Loss, Loss of consciousness","Noscapine, Paracetamol, Caffeine, Heroin, 6-MAM","6-Acetylcodeine, Papaverine",55.9358,-3.4882625
000236496,05 Aug 2025,NP20,Heroin,Not Stated,,Powder,Intravenous,Not Stated,"Paracetamol, Caffeine",,51.5877,-2.9984
W067014,05 Aug 2025,AB42,Heroin,Not Stated,Brown,,Smoked,Relaxed,"Noscapine, Paracetamol, Heroin, Caffeine","6-Acetylcodeine, 6-MAM",57.48231142857143,-1.924825714285714
000235573,05 Aug 2025,NP24,Heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Paracetamol, Caffeine, Noscapine, Heroin, 6-MAM","Clozapine, Papaverine",51.7205,-3.2413
W066237,05 Aug 2025,EH3,Heroin,Not Stated,"Grey, Brown",Powder,Smoked,Not Stated,"Noscapine, Heroin, Paracetamol, Caffeine","6-MAM, Papaverine",55.9521,-3.1965
W059366,05 Aug 2025,EH17,Heroin,Not Stated,"Grey, Brown",Powder,"Smoked, Intravenous","Auditory Hallucinations, Visual Hallucinations, Relaxed, Paranoia, Confusion, Agitation","Paracetamol, Caffeine, Noscapine, Heroin","6-MAM, 6-Acetylcodeine, Papaverine",55.9084,-3.128
W067443,05 Aug 2025,CH54,Heroin,Not Stated,Grey,Powder,Intravenous,"Relaxed, Breathlesness, Irregular Heartbeat, Panic Attack, Loss of consciousness, Agitation","Noscapine, Heroin, 6-MAM, Paracetamol, Caffeine, 6-Acetylcodeine","Papaverine, Etonitazene, Metonitazene, Dextromethorphan",53.19930000000001,-3.03614
W067528,05 Aug 2025,FK10,Heroin,Not Stated,Brown,,Smoked,Not Stated,No Active Component Identified,,56.10687777777778,-3.7534
W067486,05 Aug 2025,G12,Tramadol 150mg,tramadol t150,White,Tablet,Not Stated,Not Stated,Tramadol,,55.8804,-4.3007
W067133,05 Aug 2025,CH63,Oxycodone,Oxylan,Colourless,Tablet,Oral,"Enhanced Senses, Relaxed, Breathlesness, Loss of consciousness",Oxycodone,,53.3444,-3.0124
000237203,05 Aug 2025,CF47,Heroin,Not Stated,"Orange, Yellow",Powder,Intravenous,Enhanced Senses,"Noscapine, Heroin, 6-MAM, Paracetamol","Papaverine, 6-Acetylcodeine",51.7479,-3.3778
W067406,01 Aug 2025,FK2,Heroin,Heroin,Black,Powder,Intravenous,"Relaxed, Breathlesness","Paracetamol, Noscapine, Heroin",Papaverine,56.01717272727273,-3.755472727272727
W067194,01 Aug 2025,CA7,Tramadol/diazepam,Tramadol,"Green, Yellow",Capsule,Not Stated,"Increased Energy, Increased Confidence, Enhanced Senses, Increased Strength, Relaxed, Chest Pains, Irregular Heartbeat, Panic Attack, Insomnia, Depression, Suicidal Ideation",Tramadol,,54.80357826086957,-3.161617391304348
W067357,01 Aug 2025,BA6,Tramadol 100mg,Tramadol 100mg,White,Tablet,Oral,No Effect,2-methyl-4-(methylthio)-2-morpholinopropiophenone,,51.140458333333335,-2.708916666666666
W067356,01 Aug 2025,BA6,Tramadol 100mg,Tramadol 100mg,White,Tablet,Oral,No Effect,2-methyl-4-(methylthio)-2-morpholinopropiophenone,,51.140458333333335,-2.708916666666666
W067138,25 Jul 2025,SR3,Heroin,Bugs Bunny,,Powder,Not Stated,Not Stated,"Noscapine, Heroin, 6-MAM, Caffeine, Thebacon, Papaverine",Paracetamol,54.874233333333336,-1.4153666666666669
W066364,25 Jul 2025,SR3,Heroin,Vanilla,"Yellow, Brown",Powder,Not Stated,Not Stated,"Noscapine, Heroin, Thebacon","6-MAM, Papaverine",54.874233333333336,-1.4153666666666669
000237998,24 Jul 2025,CF37,Tapentadol,Aspadol,Orange,Tablet,Not Stated,Not Stated,Tapentadol,,51.613815384615386,-3.3598076923076925
W067059,24 Jul 2025,PA19,heroin,Not Stated,Brown,Powder,Smoked,"Increased Energy, Breathlesness, Confusion, Agitation, Depression, Suicidal Ideation","Noscapine, Heroin, Paracetamol, Caffeine, Papaverine","6-MAM, 6-Acetylcodeine",55.9616,-4.8179
W066991,24 Jul 2025,S21,Tapentadol,Super Royal Tapentadol,Red,Capsule,Oral,"Auditory Hallucinations, Visual Hallucinations, Relaxed, Irregular Heartbeat, Paranoia, Memory Loss, Confusion, Panic Attack, Loss of consciousness, Agitation, Seizure, Overdose",Tapentadol,,53.3123,-1.3394
