,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
000234320,12 Aug 2025,CF11,Diazepam,Teva,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Memory Loss, Confusion, Suicidal Ideation",Diazepam,,51.48,-3.18
W067706,12 Aug 2025,NE66,Benzo,bensedin,White,Tablet,Not Stated,Not Stated,Diazepam,,55.419943396226415,-1.7907415094339625
W067739,12 Aug 2025,KT4,Diazepam,galenika Bensedin,White,Tablet,Oral,Relaxed,Diazepam,,51.38995,-0.2472
W067731,12 Aug 2025,OX25,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.9,-1.1536
W067632,12 Aug 2025,SW25,Alprazolam (xanax),Alpraolam,Green,Tablet,Not Stated,Not Stated,Alprazolam,,51.4548,-0.1158
W067844,12 Aug 2025,KY1,valium (diazepam),valium (martin dow),Blue,Tablet,Oral,Euphoria,Diazepam,,56.1345,-3.121411111111111
W067612,12 Aug 2025,SR3,Diazepam,Accord 10mg Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.874233333333336,-1.4153666666666669
W067541,12 Aug 2025,YO23,Xanax,Xanax,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.914883333333336,-1.1672333333333331
W067704,12 Aug 2025,FK5,Diazepam,Diazepam,White,Tablet,Oral,"Euphoria, Increased Confidence, Increased Stamina, Relaxed",Caffeine,Amphetamine,56.0258,-3.823525
W067629,12 Aug 2025,L828,Diazepam,Diazepam,Orange,,Not Stated,No Effect,Diazepam,,,
W067516,12 Aug 2025,PE2,Diazepam,Galenika Bensedin,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,52.55525,-0.2665666666666667
W067628,12 Aug 2025,LS28,Diazepam,Diazepam,Yellow,Tablet,Oral,"Increased Confidence, Relaxed, Panic Attack, Depression, Suicidal Ideation",Diazepam,,53.81066666666667,-1.6737
000042269,12 Aug 2025,NP22,Diazepam,Not Stated,Pink,Tablet,Not Stated,"Relaxed, Paranoia",Diazepam,,51.7725,-3.2468
W067648,12 Aug 2025,CF44,Diazepam,valium,Blue,Tablet,Oral,"No Effect, Relaxed",Diazepam,,51.7327125,-3.48293125
W067691,12 Aug 2025,GU15,Diazepam 10mg,martin dow,Blue,Tablet,Oral,"Euphoria, Empathy, Relaxed",Diazepam,,51.337,-0.7426
000235577,12 Aug 2025,NP12,valium,valium,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,51.6678,-3.2075
W067664,12 Aug 2025,CR2,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.3359,-0.0778
W067663,12 Aug 2025,CR2,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.3359,-0.0778
W067676,12 Aug 2025,OX49,Clonazepam 2mg,Clonazepam tablet,White,Tablet,Oral,"Euphoria, Increased Confidence, Enhanced Senses, Empathy, Relaxed",Clonazepam,,51.6433,-1.0045
W067811,12 Aug 2025,G13,Diazepam,Not Stated,Blue,Tablet,Oral,"Relaxed, Memory Loss, Confusion",Ethylbromazolam,,55.8935,-4.348
000235416,12 Aug 2025,LD1,Daizepam,Diazepam tablet,White,Tablet,Oral,Relaxed,Diazepam,,52.2618,-3.3257903225806453
W067716,12 Aug 2025,SO50,Diazepam,Not Stated,Yellow,Tablet,Not Stated,"Relaxed, Memory Loss",Diazepam,,50.9627,-1.3284714285714287
