,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W100942,29/05/2026,SE3,DIAZEPAM,DIAZEPAM ROCHE 10MG,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.46596666666667,0.0175
W100932,29/05/2026,LS8,DIAZEPAM,BENSEDIN GALENIKA DIAZEPAM,White,Tablet,Oral,"Increased confidence, Relaxed",Diazepam,,53.8245,-1.5099
000236804,29/05/2026,CF63,CLONAZEPAM NOVUMGEN,Not stated,White,Tablet,Oral,"Not stated,  ",Clonazepam,,51.4172,-3.2614
000236805,29/05/2026,CF63,DIAZEPAM 5MG,Not stated,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4172,-3.2614
000236512,29/05/2026,CF39,DIAZEPAM,BENSEDIN,White,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,51.5988125,-3.447975
W100898,29/05/2026,L13,DIAZEPAM,GALENIKA BENSEDIN,White,Tablet,Not stated,"Not stated,  ",Diazepam,,53.4179,-2.9206
W101088,29/05/2026,TW1,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4454,-0.3297
W101087,29/05/2026,TW1,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4454,-0.3297
W101046,29/05/2026,SR6,DIAZEPAM,ROCHE 10MG DIAZEPAM,Blue,Tablet,Oral,"Relaxed, Insomnia, No effect",Diazepam,,54.94488,-1.3725200000000002
W101097,29/05/2026,N10,XANAX,XANAX,Orange,Tablet,Not stated,"Not stated,  ",Alprazolam,,51.5905,-0.1421
W100014,29/05/2026,W2,DIAZEPAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,51.51413636363636,-0.1886454545454545
000034693,29/05/2026,SA32,DIAZEPAM,DIAZEPAM,White,Tablet,Oral,"Not stated,  ",Diazepam,,51.89156,-4.16407
W100915,26/05/2026,BS3,benzo,Valium,Blue,Tablet,Oral,"Relaxed, Nosebleeds, Nausea, Memory loss, Confusion, Agitation, Suicidal ideation, Violence, Panic attack, Loss of consciousness",Diazepam,,51.4552,-2.5966
W100968,26/05/2026,SW1,Xanax 0.5mg,xanax 0.5mg,Pink,Tablet,Not stated,"Not stated,  ",Alprazolam,,51.495583333333336,-0.1417916666666666
W100962,26/05/2026,M16,Diazepam,Matin dows,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,53.4551,-2.2645
W100914,26/05/2026,YO31,Valium (diazepam),Not stated,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,53.9576,-1.0827
W100957,26/05/2026,BH22,Diazepam,Not stated,White,Tablet,Not stated,"Not stated,  ",Diazepam,,50.798257142857146,-1.8945142857142856
W100969,26/05/2026,SR3,diazepam,sedil diazepam 5mg,Orange,Tablet,Not stated,"Not stated,  ",Diazepam,,54.874233333333336,-1.4153666666666669
W100868,26/05/2026,SS71,Diazepam 10mg,Valium Diazepam 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.55652,0.58128
W100913,26/05/2026,YO31,Valium (diazepam),Valium (diazepam),Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,53.9576,-1.0827
000237982,26/05/2026,CF37,Lorazepam,Lorazepam,Blue,Tablet,Oral,"Not stated,  ",Lorazepam,,51.613815384615386,-3.3598076923076925
W100053,26/05/2026,CF45,Temazepam,Temazepam,White,Tablet,Not stated,"Not stated,  ",Temazepam,,51.66452,-3.3537
W100907,26/05/2026,GL88,xanax,Xanax,White,Tablet,Not stated,"Not stated,  ",No active compound identified,,51.6456705882353,-2.1885529411764706
W076256,26/05/2026,Not stated,Street valium,Not stated,White,Tablet,Oral,"Increased confidence, Relaxed, Agitation, Depression, Loss of consciousness",Medetomidine,,,
W101019,21/05/2026,E17,Etizolam,Etizolam,Blue,Tablet,Oral,"Relaxed, No effect",Desalkylgidazepam,,51.58758,-0.02048
000039753,19/05/2026,LL77,DIAZEPAM,Not stated,White,Tablet,Oral,"Not stated,  ",Diazepam,,53.27263333333334,-4.3066
W100682,19/05/2026,PR32,BLUES,VALIUM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,53.903882857142854,-2.707102857142857
W076283,19/05/2026,PL97,XANAX,ALPRX-1 ALPRAZOLAM,White,Tablet,Not stated,"Not stated,  ",Alprazolam,,50.34709090909091,-4.0945
W100747,19/05/2026,WV10,GALENIKA BENSEDIN,BENSEDIN,White,Tablet,Oral,"Not stated,  ",Diazepam,,52.651114285714286,-2.101428571428571
W100784,19/05/2026,BD4,VALIUM 10MG,VALIUM 10MG,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,53.770725,-1.729375
000239691,19/05/2026,NP4,SUSPECTED DIAZEPAM,Not stated,White,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,51.718515789473685,-3.030521052631579
