,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W101097,2026-05-29,N10,XANAX,XANAX,Orange,Tablet,Not stated,"Not stated,  ",Alprazolam,,51.5905,-0.1421
W100932,2026-05-29,LS8,DIAZEPAM,BENSEDIN GALENIKA DIAZEPAM,White,Tablet,Oral,"Increased confidence, Relaxed",Diazepam,,53.8245,-1.5099
000236804,2026-05-29,CF63,CLONAZEPAM NOVUMGEN,Not stated,White,Tablet,Oral,"Not stated,  ",Clonazepam,,51.4172,-3.2614
000236805,2026-05-29,CF63,DIAZEPAM 5MG,Not stated,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4172,-3.2614
W101046,2026-05-29,SR6,DIAZEPAM,ROCHE 10MG DIAZEPAM,Blue,Tablet,Oral,"Relaxed, Insomnia, No effect",Diazepam,,54.94488,-1.3725200000000002
W100898,2026-05-29,L13,DIAZEPAM,GALENIKA BENSEDIN,White,Tablet,Not stated,"Not stated,  ",Diazepam,,53.4179,-2.9206
W101088,2026-05-29,TW1,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4454,-0.3297
W101087,2026-05-29,TW1,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4454,-0.3297
000236512,2026-05-29,CF39,DIAZEPAM,BENSEDIN,White,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,51.5988125,-3.447975
W101295,2026-06-05,NR6,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Bromazolam,,52.66225,1.27955
W101328,2026-06-05,RG12,valium,Martin dow,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4007,-0.7635
W101329,2026-06-05,RG12,Valium,Martin dow,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4007,-0.7635
000236822,2026-06-05,CF64,DIAZEPAM 10MG,10MG DIAZEPAM,Blue,Tablet,Oral,"Euphoria, Increased energy, Relaxed, Paranoia, Memory loss, Confusion, Agitation, Loss of consciousness","Ethylbromazolam, Promethazine",,51.42878,-3.21045
000236821,2026-06-05,CF64,DIAZEPAM 10MG,10MG DIAZEPAM,Blue,Tablet,Oral,"Euphoria, Increased confidence, Relaxed, Paranoia, Memory loss, Confusion, Agitation, Loss of consciousness",Diazepam,,51.42878,-3.21045
W101378,2026-06-05,SS11,NITRAZEPAM,NITRAZEPAM,White,Tablet,Not stated,"Not stated,  ",Nitrazepam,,51.61865,0.5607
W101422,2026-06-05,S18,DIAZEPAM,ACCORD DIAZEPAM,Blue,Tablet,Oral,"Relaxed, Memory loss",Ethylbromazolam,,53.29518,-1.4762
W101456,2026-06-05,WA15,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ","Ethylbromazolam, Promethazine",,53.3761,-2.3331
W101409,2026-06-05,LS11,ETIZOLAM 1MG,Not stated,Blue,Tablet,Oral,"Not stated,  ",Etizolam,,53.7667,-1.5667
W101454,2026-06-05,NW1,VALIUM,BENSEDIN GALENIKA,White,Tablet,Not stated,"Not stated,  ",Diazepam,,51.52988181818182,-0.1471818181818182
W101343,2026-06-05,E17,Etizolam,etilaam,Blue,Tablet,Not stated,"Not stated,  ",Desalkylgidazepam,,51.58758,-0.02048
W101356,2026-06-05,S21,Diazepam,Diazepam,Blue,Tablet,Oral,"Relaxed, Nausea, Confusion, Agitation, Violence, Panic attack",Ethylbromazolam,,53.3123,-1.3394
W101377,2026-06-05,TS10,DIAZEPAM,DIAZEPAM 5MG,Yellow,Tablet,Oral,Relaxed,Diazepam,,54.60510000000001,-1.07006
W076293,2026-06-05,SN9,DIAZEPAM,BENSEDIN DIAZEPAM,White,Tablet,Oral,"Relaxed, Memory loss, Confusion, Insomnia, Depression",Ethylbromazolam,,51.321110526315785,-1.8159894736842104
W101443,2026-06-05,HP2,Xanax,Xanax 4mg,White,Powder,Not stated,"Not stated,  ",Alprazolam,,51.7639,-0.4531
W101376,2026-06-05,SS11,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,51.61865,0.5607
000232858,2026-06-05,NP20,VALIUM,Not stated,Blue,Tablet,Oral,"Not stated,  ",Ethylbromazolam,,51.5877,-2.9984
W101453,2026-06-05,NW1,Nitrazepam,Nitrazepam,White,Tablet,Not stated,"Not stated,  ",Nitrazepam,,51.52988181818182,-0.1471818181818182
W076324,2026-06-05,EH11,DIAZEPAM,GALENIKA BENSEDIN 10MG DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9326,-3.2531
W101283,2026-06-05,M11,DIAZEPAM,GALENIKA BENSEDIN DIAZEPAM ORAINA UPOTREBA,White,Tablet,Not stated,"Not stated,  ","Ethylbromazolam, Promethazine",,53.479,-2.1818
W101317,2026-06-05,EH10,ALPRAZOLAM,XANAX,Pink,Tablet,Not stated,"Not stated,  ",Alprazolam,,55.91466666666667,-3.2046333333333337
W101300,2026-06-05,ME59,VALIUM 10MG DIAZEPAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.352066666666666,0.5337
W101293,2026-06-05,HA3,ALPRAZOLAM,KSALOL GALENIKA,White,Tablet,Not stated,"Not stated,  ",Alprazolam,,51.59936666666667,-0.3307333333333333
W101314,2026-06-05,TS21,DIAZEPAM 10MG,BENSEDIN GALENIKA,Colourless,Tablet,Not stated,"Not stated,  ","Ethylbromazolam, Promethazine",,54.6124625,-1.4342875
000236207,2026-06-05,CF83,VALIUM / DIAZEPAM,VALIUM / DIAZEPAM,Blue,Tablet,Oral,Relaxed,Diazepam,,51.59288333333333,-3.2333833333333337
W101400,2026-06-05,W69,ANTI-ANXIETY MEDICATION,XANAX ANTI-ANXIETY MEDICATION,Pink,Tablet,Oral,"Empathy, Relaxed",Alprazolam,,,
W076320,2026-06-05,WN1,CLONAZEPAM,CLONAZEPAM,White,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,53.54315,-2.6226
W101301,2026-06-05,ME39,KLONOPIN 2MG,CLONAZEPAM 2MG,White,Other,Oral,"Increased confidence, Relaxed, Memory loss",Clonazepam,,51.438552941176475,0.5568352941176471
W101287,2026-06-05,CF14,DIAZEPAM 10MG,DIAZEPAM 10MG,White,Tablet,Not stated,"Not stated,  ","Ethylbromazolam, Promethazine",,51.5199,-3.204
W101235,2026-06-05,BT45,DIAZEPAM 5MG,DIAZEPAM 5MG,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,54.771116666666664,-6.6285750000000005
W101408,2026-06-05,YO51,DIAZEPAM,Not stated,Blue,Tablet,Oral,Relaxed,Ethylbromazolam,,54.0667,-1.3667
000043993,2026-06-05,CF64,rivotril 2mg,rivotril 2mg,Colourless,Tablet,Oral,"Euphoria, Increased energy, Relaxed, Paranoia, Memory loss, Confusion, Agitation, Insomnia, Loss of consciousness",Clonazepam,,51.42878,-3.21045
W101294,2026-06-05,HA3,LORAZEPAM,Not stated,White,Tablet,Not stated,"Not stated,  ",Lorazepam,,51.59936666666667,-0.3307333333333333
W101458,2026-06-08,EN2,VALIUM / DIAZEPAM,Not stated,Yellow,Tablet,Oral,Relaxed,Diazepam,,51.6515,-0.085
W101525,2026-06-08,SA14,ELIKEM 3MG LORAZEPAM,AS ABOVE,White,Tablet,Oral,"Euphoria, Increased confidence, Empathy, Relaxed, Memory loss, No effect",Lorazepam,,51.76378235294118,-4.089482352941177
W101583,2026-06-09,YO24,Alprazolam,Ksalol Alprazolam 1mg,Blue,Tablet,Not stated,"Euphoria, Relaxed",Alprazolam,,53.946,-1.1169
W076326,2026-06-09,L36,diazepam,Diazepam,Blue,Tablet,Oral,"Increased confidence, Relaxed",Diazepam,,53.4103,-2.8480499999999997
W101590,2026-06-09,L17,diazepam,Diazepam,White,Powder,Oral,No effect,Paracetamol,,53.3653,-2.9178
W101544,2026-06-09,CF14,Diazepam 5mg,Diazepam 5mg,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.5199,-3.204
W101553,2026-06-09,WA6,Diazepam,Diazepam,White,Tablet,Oral,"Increased confidence, Relaxed","Ethylbromazolam, Promethazine",,53.26614166666667,-2.732791666666667
W101585,2026-06-09,LS23,Alprazolam,Ksalol alprazolam 1mg,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,53.90194,-1.3415
