,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W073259,26 Jan 2026,FY3,Valium,Not Stated,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,53.8119,-3.0226
W072942,28 Jan 2026,SE13,Diazepam 10mg,Diazepam 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.4643,-0.0119
W073345,28 Jan 2026,NP20,valium/diazepam,bensedin,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5877,-2.9984
W073307,28 Jan 2026,BN11,Diazepam (valiume),Diazepam (valiume),Blue,Tablet,Oral,Relaxed,Diazepam,,50.81425,-0.38285
W073333,28 Jan 2026,CW9,Valium,martin dow ,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.264406666666666,-2.5003200000000003
W073292,28 Jan 2026,WV10,Diazepam,Crescent diazepam 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.651114285714286,-2.101428571428571
W073223,28 Jan 2026,DD4,Diazepam ,Not Stated,White,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Increased Stamina, Increased Strength, Relaxed, Memory Loss, Confusion, Panic Attack",Bromazolam,,56.490550000000006,-2.9407833333333335
W073213,26 Jan 2026,TS18,wobbly eggs,remestan,Colourless,,Oral,"Empathy, Auditory Hallucinations, Relaxed, Breathlesness, Chest Pains, Irregular Heartbeat, Nausea, Vomiting, Paranoia, Memory Loss, Confusion, Panic Attack, Agitation",Temazepam,,54.5613,-1.3243
W073249,28 Jan 2026,PA11,diazepam,5mg diazepam,Yellow,Tablet,Oral,"Increased Energy, Increased Confidence, Enhanced Senses, Increased Strength, Empathy, Irregular Heartbeat, Memory Loss, Confusion, Agitation, Insomnia",Diazepam,,55.85,-4.5833
W073131,28 Jan 2026,NG10,diazepam,valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.901475,-1.287175
W073121,28 Jan 2026,EX39,Diazepam 10mg,Diazepam 10mg,Blue,Tablet,Oral,"Increased Energy, Empathy, Relaxed",Diazepam,,50.99405869565218,-4.261958695652174
W073188,28 Jan 2026,E2,Diazepam 10mg,accord Diazepam 10mg,Blue,Tablet,Oral,Relaxed,Diazepam,,51.5386,-0.055525
W073037,28 Jan 2026,N8,diazepam,Elikem elipam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.58336666666667,-0.1158333333333333
W073251,28 Jan 2026,HA3,Alprazolam,Ksalol galenika,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.59936666666667,-0.3307333333333333
W073286,28 Jan 2026,DG1,Diazepam 5mg,Diazepam 5mg (protarma),White,Tablet,Not Stated,Not Stated,Diazepam,,55.0743962962963,-3.5466296296296296
W073201,28 Jan 2026,CM23,diazepam,martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.89539,0.15618
W073216,28 Jan 2026,BD4,Diazepam ,valium 10mg,Blue,Tablet,Oral,Not Stated,Diazepam,,53.770725,-1.729375
000231927,28 Jan 2026,SY22,Diazepam 10mg,Bensedin,White,Tablet,Oral,"Increased Confidence, Increased Stamina, Increased Libido, Increased Strength, Confusion",Ethylbromazolam,,52.72475,-3.2291958333333337
W073252,28 Jan 2026,HA3,Alprazolam,Ksalol galenika,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.59936666666667,-0.3307333333333333
W073221,28 Jan 2026,GU16,temazepam,teva temazepam 20mg,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.298275,-0.71955
W073298,28 Jan 2026,NW5,Zolpidem,Zoplidem,White,Tablet,Oral,Not Stated,Ethylbromazolam,,51.5517,-0.1413
000234124,28 Jan 2026,NP20,Diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5877,-2.9984
000234131,28 Jan 2026,NP20,Unknown,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5877,-2.9984
W073234,28 Jan 2026,AB25,Diazepam,diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,57.1437,-2.0981
W073119,28 Jan 2026,RG31,Diazepam,Diazepam (accord),Yellow,Tablet,Oral,"Relaxed, No Effect",Diazepam,,51.4513,-1.046266666666667
