,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W100201,2026-05-01,LE1,Ksalol xanax fresh stock,ksalol xanax fresh stock,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.6386,-1.1317
W100161,2026-05-01,SY4,Diazepam,Diazepam roche 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100204,2026-05-01,CV6,Ksalol xanax 1mg fresh stock,ksalol xanax 1mg fresh stock,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.4414,-1.4998714285714283
W100163,2026-05-01,SY4,Diazepam,Diazepam roche 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100215,2026-05-01,TN1,Daizepam,valium diazepam,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.1325,0.2633
W100223,2026-05-01,ML3,Martin dow valium 10mg,martin dow 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,55.76254285714286,-4.045457142857143
W100154,2026-05-01,SY4,Lorazepam,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Lorazepam,,52.7651,-2.7190144927536233
W100107,2026-05-01,AB25,Xanax,Ksalol,White,Tablet,Oral,Relaxed,Alprazolam,,57.1437,-2.0981
000234328,2026-05-01,CF11,Lorazepam,Neuroxpharm,White,Tablet,Oral,"Euphoria, Increased confidence, Relaxed, Vomiting, Memory loss, Confusion, Suicidal ideation",Lorazepam,,51.48,-3.18
W100206,2026-05-01,CV7,ksadol xanax 1mg lcm,ksaol xanax 1mg lcm,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.44593888888889,-1.5487333333333335
W100160,2026-05-01,SY4,Diazepam,Diazepam roche 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100139,2026-05-01,SY4,Alprazolam,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.7651,-2.7190144927536233
W100242,2026-05-01,BT38,Diazepam,10mg valium martin dow,Blue,Tablet,Oral,"Increased confidence, Relaxed",Diazepam,,54.73284,-5.7809
W076146,2026-05-01,KA14,Xanax,Xanax viatris,Pink,Tablet,Not stated,"Not stated,  ",Alprazolam,,55.7393,-4.6776
W076078,2026-05-01,KY7,Valium,Not stated,White,Tablet,Oral,"Euphoria, Increased energy, Increased confidence, Increased senses, Relaxed, Memory loss",Clonazolam,,56.19679,-3.1358
W100164,2026-05-01,SY4,Diazepam,Diazepam roche 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100148,2026-05-01,SY4,Lorazepam,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Lorazepam,,52.7651,-2.7190144927536233
W100162,2026-05-01,SY4,Diazepam,Diazepam roche 10mg,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100151,2026-05-01,BS8,Lorazepam,lorazepam,White,Tablet,Oral,"Not stated,  ",Lorazepam,,51.450199999999995,-2.65032
