,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W073678,13 Feb 2026,SA1,XANEX,XANEX,White,Tablet,Not Stated,Relaxed,Ethylbromazolam,,51.633979999999994,-3.94848
W073855,13 Feb 2026,SR4,DIAZEPAM,SEDIL DIAZEPAM 5MG,Orange,Tablet,Not Stated,Not Stated,Diazepam,,54.9004,-1.4255
W073841,13 Feb 2026,G83,DIAZEPAM,DIAZEPAM ACCORD 5MG,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,56.03989166666666,-4.6006583333333335
W073887,13 Feb 2026,TA4,NITRAZEPAM 10MG,NITCENT NACENT LIFE SCIENCES ,White,Tablet,Not Stated,Not Stated,Nitrazepam,,51.08138936170213,-3.287942553191489
W064027,13 Feb 2026,EH11,APRAZOLAM 1MG,APRAZOLAM 1MG,White,Tablet,Oral,"Relaxed, Vomiting, Agitation",Bromazolam,,55.9326,-3.2531
W073817,13 Feb 2026,M28,DIAZEPAM,DIAZEPAM ACCORD 10MG,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.50606666666667,-2.3990666666666667
W073819,13 Feb 2026,M28,DIAZEPAM,GALENIKA BENSEDIN 10MG,White,Tablet,Not Stated,Not Stated,Diazepam,,53.50606666666667,-2.3990666666666667
W073638,13 Feb 2026,BS5,DIAZEPAM,SAME,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,51.462,-2.5519
W073807,13 Feb 2026,WF1,Alprazolam 1mg,Xanax 1mg,White,Tablet,Oral,"Relaxed, Memory Loss",Bromazolam,,53.69246666666667,-1.4771
W073812,13 Feb 2026,BN11,Diazepam ,diazepam ,White,Tablet,Not Stated,Not Stated,Diazepam,,50.81425,-0.38285
W073460,13 Feb 2026,WF1,Alprazolam ,Xanax 2mg,White,Tablet,Oral,"Euphoria, Relaxed, Memory Loss, Confusion, Suicidal Ideation",Ethylbromazolam,,53.69246666666667,-1.4771
W073534,13 Feb 2026,DN5,Temazepam 10mg,temazepam 10mg,White,Tablet,Oral,"Euphoria, Relaxed",Etizolam,,53.53578181818182,-1.229072727272727
W073808,13 Feb 2026,WF12,Diazepam 10mg,Diazepam 10mg,White,Tablet,Oral,Relaxed,Bromazolam,,53.68023333333334,-1.6275333333333333
W073462,13 Feb 2026,WF1,Diazepam 10mg,diazepam valium,Blue,Tablet,Not Stated,"Euphoria, Relaxed, Memory Loss",Ethylbromazolam,,53.69246666666667,-1.4771
W073781,13 Feb 2026,M44,Diazepam ,Martin dow,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,53.4425,-2.4232
W073848,13 Feb 2026,SY23,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.34458541666667,-3.9885
W073860,11 Feb 2026,BT47,Lorazpam,Lorazpam,Blue,Tablet,Not Stated,"Euphoria, Empathy, Relaxed",Lorazepam,,54.94983333333333,-7.084177777777778
W073859,11 Feb 2026,BT47,Alprazolam,Alprazolam alpzar 1mg,White,Tablet,Not Stated,"Euphoria, Empathy, Relaxed",Alprazolam,,54.94983333333333,-7.084177777777778
W073858,11 Feb 2026,BT47,Clonazepam,ritotril clonazepam,White,Tablet,Not Stated,"Euphoria, Increased Confidence, Empathy, Relaxed",Clonazepam,,54.94983333333333,-7.084177777777778
W073741,11 Feb 2026,OL42,Xanax,Not Stated,White,Tablet,Not Stated,Not Stated,Alprazolam,,53.54999999999999,-2.0667
W073805,11 Feb 2026,TF11,Diazepam,Valium,Blue,Tablet,Oral,No Effect,Diazepam,,52.64842631578947,-2.346763157894737
W073777,11 Feb 2026,SY21,Xanax,Alprax xr1,Orange,Tablet,Not Stated,Not Stated,Alprazolam,,52.670813513513515,-3.1976945945945947
W073788,11 Feb 2026,W8,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.501125,-0.1985
W073791,11 Feb 2026,W8,Diazepam 5mg,Diazepam 5mg,White,Tablet,Not Stated,Not Stated,Diazepam,,51.501125,-0.1985
W073768,11 Feb 2026,CO11,Diazepam 10mg,pepson diazepam 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.93195,1.0912416666666669
W073827,11 Feb 2026,HA63,Diazepam 10mg,Accord Daizepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.6116,-0.4230333333333333
W073765,11 Feb 2026,EN3,Diazepam,Martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.6445,-0.0465
W073775,11 Feb 2026,SY21,Martin dows,Martin dows diaz,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.670813513513515,-3.1976945945945947
W073724,11 Feb 2026,SA15,10mg diazepam,10mg diazepam,White,Tablet,Oral,"Euphoria, Relaxed",Diazepam,,51.74003,-4.187250000000001
W073774,11 Feb 2026,SY21,Loose blues,Diaz,Blue,Tablet,Not Stated,Not Stated,Clobromazolam,,52.670813513513515,-3.1976945945945947
W073789,11 Feb 2026,W8,Clonazepam 2mg,clonazepam neurazpharm 2mg,White,Tablet,Not Stated,Not Stated,Clonazepam,,51.501125,-0.1985
W073740,10 Feb 2026,OL42,Xanax,Alpzar,White,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Paranoia, Confusion",Alprazolam,,53.54999999999999,-2.0667
W073770,10 Feb 2026,CO11,Diazepam 10mg,prodes diazepam 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,51.93195,1.0912416666666669
W073742,10 Feb 2026,OL42,Xanax,Aprazolam,White,Tablet,Not Stated,"Euphoria, Enhanced Senses, Relaxed, Memory Loss, Confusion, Agitation",Alprazolam,,53.54999999999999,-2.0667
W073754,10 Feb 2026,SY21,Ksalol xanax,ksalol,White,Tablet,Not Stated,Not Stated,Alprazolam,,52.670813513513515,-3.1976945945945947
W073621,10 Feb 2026,WN5,Diazepam,Valium (diazepam),Blue,Tablet,Oral,"Headache, Increased Energy, Insomnia",Diazepam,,53.497899999999994,-2.7081
W073648,10 Feb 2026,BT20,Diazepam,Bensedin 10mg diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,54.6534,-5.6689
W073800,10 Feb 2026,TR2,Diazepam 10mg,diazepam 10mg martin dow,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.22666071428572,-4.961603571428571
W073663,10 Feb 2026,OX41,Diazepam,Kern diazepam,"White, Blue",Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.723725,-1.224375
W073720,10 Feb 2026,SA12,MSJ,Not Stated,Blue,,Oral,Not Stated,Ethylbromazolam,,51.61181666666667,-3.7703
W073710,10 Feb 2026,WC1,Alprazolam,ksalol,Blue,Tablet,Oral,Relaxed,Alprazolam,,51.525485714285715,-0.1222999999999999
W073683,10 Feb 2026,HG1,Diazepam,diazepam,White,Tablet,Oral,Relaxed,Ethylbromazolam,,53.99700000000001,-1.5357666666666667
W073568,10 Feb 2026,BN1,Valium/ diazpeam,Bensedin diazepam 10mg,White,Tablet,Oral,"Breathlesness, Chest Pains, Agitation, Dizziness",Ethylbromazolam,,50.8614,-0.1204166666666666
000236112,10 Feb 2026,CF63,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.4172,-3.2614
W067760,10 Feb 2026,KY11,Valium,Not Stated,Yellow,Tablet,Oral,"Euphoria, Relaxed",Diazepam,,56.037644444444446,-3.422588888888889
000235515,10 Feb 2026,NP12,Valium,Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.6678,-3.2075
W073653,10 Feb 2026,M25,Diazepam,Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.5333,-2.2833
W073651,10 Feb 2026,LS14,Alprazolam 2mg,alprazolam 2mg,White,Tablet,Oral,"Increased Energy, Increased Libido, Increased Strength, Irregular Heartbeat, Memory Loss, Paranoia, Confusion","Ethylbromazolam, Diazepam",,53.8486,-1.4444333333333332
W073687,10 Feb 2026,BT67,Diazepam,Pharmachoice-almus diazepam 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.48503333333334,-6.287166666666667
W073652,10 Feb 2026,LS14,Diazepam 10mg,Diazepam 10mg,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Headache",Diazepam,,53.8486,-1.4444333333333332
W073657,10 Feb 2026,GU14,Diazepam,10mg martin dow,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed",Diazepam,,51.2955,-0.7908
W073658,10 Feb 2026,GU14,Diazepam,Galenika 10mg,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.2955,-0.7908
W073667,10 Feb 2026,KY1,Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Diazepam,,56.1345,-3.121411111111111
W073660,10 Feb 2026,GU14,Lorazepam,Lorazepam,White,Tablet,Oral,"Euphoria, Relaxed",Lorazepam,,51.2955,-0.7908
W073659,10 Feb 2026,GU14,Alprazolam,Ksala 1mg,Blue,Tablet,Oral,Euphoria,Ethylbromazolam,,51.2955,-0.7908
W073649,06 Feb 2026,LS14,Alprazolam 1mg,Alprazolam 1mg,White,Tablet,Not Stated,"Enhanced Senses, Increased Libido, Nausea, Depression",Ethylbromazolam,,53.8486,-1.4444333333333332
W083630,06 Feb 2026,G42,diazepam ,accord diazepam 10mg,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,55.8322,-4.2576
W073458,06 Feb 2026,PA67,diazepam,Diazepam 5mg,Yellow,Tablet,Oral,"Euphoria, Relaxed",Diazepam,,56.3143,-6.232785714285714
W073070,06 Feb 2026,CB2,Xanax,Galenika ksalol 1mg,White,Tablet,Oral,Relaxed,Alprazolam,,52.18965000000001,0.1240214285714285
W073273,06 Feb 2026,EH52,Diazepam 10mg,Valium (diazepam 10mg) ,Blue,Tablet,Oral,"Increased Energy, Increased Confidence, Relaxed, Memory Loss, Confusion, Insomnia",Diazepam,,55.9358,-3.4882625
W073531,06 Feb 2026,ME12,Lorazepam,Lorazepam HF 2.5mg HF-Hemofarm,Blue,,Oral,Relaxed,Lorazepam,,51.41452857142857,0.8513999999999999
W073530,06 Feb 2026,ME12,Diazepam,Valium (diazepam)10mg tablets,Blue,Tablet,Oral,"Relaxed, Confusion",Diazepam,,51.41452857142857,0.8513999999999999
W073142,06 Feb 2026,CB2,Alprazolam 1mg,Taska life sciences alprx-1,White,Tablet,Not Stated,Not Stated,Alprazolam,,52.18965000000001,0.1240214285714285
W073600,06 Feb 2026,W37,Zoplidem 10mg,zolpidem 10mg teva,White,Tablet,Oral,"Nausea, No Effect",Ethylbromazolam,,,
W073633,06 Feb 2026,KT3,Diazepam,Bensedin diazepam 10mg,White,Tablet,Oral,Relaxed,Diazepam,,51.3992,-0.2556
W073668,06 Feb 2026,NE32,Xanax,Bensedin,White,Tablet,Not Stated,Not Stated,Diazepam,,54.974050000000005,-1.4842499999999998
W073482,06 Feb 2026,AL4,Diazepam,diazepam,Blue,Tablet,Oral,"Increased Confidence, Relaxed",Diazepam,,51.776783333333334,-0.2842833333333333
W073603,06 Feb 2026,BT67,Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,54.48503333333334,-6.287166666666667
W073643,06 Feb 2026,SO19,Alprazolam,Xanax / alprazolam 500mg,Pink,Tablet,Not Stated,Not Stated,Alprazolam,,50.8993,-1.3670749999999998
W073632,06 Feb 2026,S70,Diazepam,Diazepam,Blue,Tablet,Oral,"Euphoria, Empathy, Relaxed, Memory Loss, Depression",Ethylbromazolam,,53.53123333333334,-1.4773333333333334
W073604,06 Feb 2026,BT67,Diazepam ,mymedsgb- accord 10mg diazepam,Blue,Tablet,Not Stated,Not Stated,Methamphetamine,Ethylbromazolam,54.48503333333334,-6.287166666666667
W073580,06 Feb 2026,FK3,Valium,Diazepam 10mg,Blue,Tablet,Oral,"Relaxed, Memory Loss",Diazepam,,56.0114,-3.7218
W073576,06 Feb 2026,BN3,Diazepam 10mg,Diazepam 10m,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.836725,-0.179625
000023779,06 Feb 2026,CF63,valium,Not Stated,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.4172,-3.2614
W073543,06 Feb 2026,LS14,Xanax bar 1mg,xanax bar 1mg,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.8486,-1.4444333333333332
W073545,06 Feb 2026,LS14,Valium 10mg,Valium 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.8486,-1.4444333333333332
W073421,06 Feb 2026,SN3,Valium,valium,Blue,Tablet,Oral,Relaxed,Diazepam,,51.5892,-1.7194
W073566,06 Feb 2026,AL5,diazepam,diazepam,White,Tablet,Oral,Relaxed,Diazepam,,51.8168,-0.3571
W073509,06 Feb 2026,NW10,heroin,Not Stated,Grey,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Relaxed, Nausea, Vomiting, Confusion, Depression","Heroin, Noscapine, 6-MAM, 6-Acetylcodeine","Papaverine, Diazepam",51.53758571428572,-0.2431214285714285
W073519,06 Feb 2026,ML3,Xanax,xanax,White,Tablet,Not Stated,Not Stated,No Active Component Identified,,55.76254285714286,-4.045457142857143
W073578,06 Feb 2026,WA73,Temazepam,Not Stated,Yellow,Capsule,Not Stated,Not Stated,Methylclonazepam,,53.324125,-2.7118
W073577,06 Feb 2026,FK3,Lorazpam,Not Stated,White,Tablet,Oral,"Relaxed, Nausea",Nitrazepam,,56.0114,-3.7218
W073535,06 Feb 2026,NP19,Diazepam,Bensedin galenika diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5888,-2.9638
W073338,06 Feb 2026,DN31,Alprazolam,alprazolam,Orange,Tablet,Oral,Relaxed,Alprazolam,,53.5702,-0.088
W073590,06 Feb 2026,TS01,Diazepam,martin dow,Blue,Tablet,Not Stated,Not Stated,Diazepam,,,
W073540,06 Feb 2026,LS14,Xanax 2mg,xanax 2mg,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.8486,-1.4444333333333332
W073428,06 Feb 2026,FK3,Diazepam,d/5 JHL,Yellow,Tablet,Oral,Relaxed,Diazepam,,56.0114,-3.7218
W073354,06 Feb 2026,CM1,Eppam clonazepam 2mg,Not Stated,White,Tablet,Not Stated,Not Stated,Clonazepam,,51.76435714285714,0.4079
W073554,06 Feb 2026,WF2,Heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Heroin, Noscapine, 6-MAM, 6-Acetylcodeine, Diazepam","Papaverine, Paracetamol, Phenacetin, Caffeine",53.66534,-1.51568
W073555,06 Feb 2026,WF2,Xanax,Xanax,Green,Tablet,Not Stated,Not Stated,Bromazolam,,53.66534,-1.51568
W073551,06 Feb 2026,OL42,Diazepam 10mg,Diazepam 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,53.54999999999999,-2.0667
W073464,06 Feb 2026,TR2,Diazepam ,Martin dow Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.22666071428572,-4.961603571428571
W073501,06 Feb 2026,TR2,Diazepam,Bensedin 10mg,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,50.22666071428572,-4.961603571428571
W073553,03 Feb 2026,OL42,Xanax,Alpzar,White,Tablet,Not Stated,Not Stated,Alprazolam,,53.54999999999999,-2.0667
W073556,03 Feb 2026,OL42,Xanax,Alpzar,White,Tablet,Not Stated,Not Stated,Alprazolam,,53.54999999999999,-2.0667
W073445,03 Feb 2026,NE6,Diazepam,Bensedin,White,Tablet,Not Stated,Not Stated,Diazepam,,54.9775,-1.5656
000236213,03 Feb 2026,CF83,Xanax,Xanax Alprazolam,Pink,Tablet,Oral,"Euphoria, Relaxed",Alprazolam,,51.59288333333333,-3.2333833333333337
W073485,03 Feb 2026,GL53,Lorazepam,Lora-2,White,Tablet,Not Stated,Not Stated,Lorazepam,,51.8192,-2.05427
W073346,03 Feb 2026,CM1,Xanax,Not Stated,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.76435714285714,0.4079
W073486,03 Feb 2026,PL26,Diazepam,Galenika Bensedin Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,50.34738918918919,-4.827086486486486
W073358,03 Feb 2026,PH1,Valium,Not Stated,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,56.43174736842105,-3.4980552631578945
W073369,03 Feb 2026,SS0,Diazepam,Diazepam,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.54745,0.6974
W073403,03 Feb 2026,GU16,Temazepam,Teva Temazepam,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.298275,-0.71955
000236845,03 Feb 2026,CF63,Bensedin,Bensedin,White,Tablet,Oral,Relaxed,Diazepam,,51.4172,-3.2614
000237880,03 Feb 2026,CF72,Diazepam,Accord Diazepam,Blue,Tablet,Oral,"Relaxed, Agitation",Bromazolam,,51.530146153846154,-3.408415384615384
000237884,03 Feb 2026,CF72,Diazepam,Diazepam Elipam,White,Tablet,Oral,"Relaxed, Paranoia, Agitation, Tiredness",Diazepam,,51.530146153846154,-3.408415384615384
W073542,03 Feb 2026,S70,Diazepam,Diazepam Accord,Blue,Tablet,Oral,"Euphoria, Empathy, Relaxed, Depression",Ethylbromazolam,,53.53123333333334,-1.4773333333333334
W073433,03 Feb 2026,BN10,Alprazolam,Alprazolam,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,50.7927,-0.0065
