,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W069266,25 Sep 2025,TR7,valium,diazepam,Blue,Tablet,Oral,Relaxed,Ethylbromazolam,,50.41865,-5.060475
000234464,22 Sep 2025,CF10,MSJ,MSJ,Blue,Tablet,Oral,Relaxed,Ethylbromazolam,,51.48,-3.18
W069062,22 Sep 2025,DY51,ALPRAZOLAM,KSALOL ALPRAZOLAM,Blue,Tablet,Oral,No Effect,Ethylbromazolam,,52.490875,-2.119025
W067940,22 Sep 2025,NE29,BENSIDIN 10MG (DIAZEPAM) GALENIKA DHTLS,BENSEDIN 10MG (DIAZEPAM) GALENIKA DHTLS ,White,Tablet,Not Stated,Not Stated,Diazepam,,55.0165,-1.4493
000237813,22 Sep 2025,CF31,diazepam,diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.507666666666665,-3.577733333333333
W069141,22 Sep 2025,BT47,alprazolam,alprazolam ksalol 1mg,Blue,Tablet,Oral,"Euphoria, Empathy, Relaxed",Alprazolam,,54.94983333333333,-7.084177777777778
W069132,22 Sep 2025,SN2,DIAZIPAM,BENSEDIN 10MG LABLET,White,Tablet,Oral,"Increased Confidence, Relaxed",Ethylbromazolam,,51.58286666666667,-1.7952333333333332
W069151,22 Sep 2025,SW2,DIAZEPAM 5MG (ACCORD),DIAZEPAM 5MG (ACCORD),Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.4548,-0.1158
W069152,22 Sep 2025,SW2,DIAZEPAM 5MG ACCORD,DIAZEPAM 5MG ACCORD,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.4548,-0.1158
W069133,22 Sep 2025,KT6,DIAZEPAM,BENSEDIN,White,Tablet,Oral,Relaxed,Diazepam,,51.38595,-0.2898
W069041,22 Sep 2025,BH14,DIAZEPAM 10MG,DIAZEPAM - 10 ,White,Tablet,Not Stated,Not Stated,Diazepam,,50.7299,-1.9449
W069021,22 Sep 2025,SA15,VALIUM,VALIUM,White,Tablet,Oral,Increased Energy,Diazepam,,51.74003,-4.187250000000001
W069017,22 Sep 2025,LN50,xanax 1mg (alprazolam),ksalol alprazolam,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.11980555555555,-0.58195
W069034,18 Sep 2025,CF44,Lorazepam,Lorazepam,,Tablet,Oral,"Relaxed, Memory Loss, Loss of consciousness",Lorazepam,,51.7327125,-3.48293125
W068960,18 Sep 2025,WS15,Temazepam,Temazepam-CT,White,Capsule,Oral,"Euphoria, Memory Loss",Temazepam,,52.7576625,-1.90304375
000237868,18 Sep 2025,CF72,Diazepam,Diazepam,White,Tablet,Oral,Relaxed,Diazepam,,51.530146153846154,-3.408415384615384
W069079,18 Sep 2025,BR35,Alprazolam,Ksalol Alprazolam,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.4088,-0.0253
W069064,18 Sep 2025,SA2,Diazepam,Bensedin,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.61628,-4.04254
W068940,18 Sep 2025,CF72,Diazepam,Sedil Square,Yellow,Tablet,Oral,"Empathy, Relaxed, Memory Loss",Diazepam,,51.530146153846154,-3.408415384615384
W068979,18 Sep 2025,CF72,Diazepam,Accord Diazepam,Blue,Tablet,Oral,No Effect,Bromazolam,,51.530146153846154,-3.408415384615384
W068918,18 Sep 2025,CF72,Bensedin Diazepam,Galenika Bensedin,White,Tablet,Oral,"Empathy, Relaxed, Chest Pains, Vomiting, Depression",Bromazolam,,51.530146153846154,-3.408415384615384
W069046,18 Sep 2025,NP25,Diazepam,Diazepam Accord,Blue,Tablet,Oral,No Effect,"Paracetamol, Bromazolam",,51.8127,-2.7136
W069054,18 Sep 2025,FK8,Heroin,Not Stated,Brown,Powder,Smoked,"Breathlesness, Loss of consciousness","Noscapine, Caffeine, Paracetamol, Heroin, 6-MAM","Papaverine, 6-Acetylcodeine, Ethylbromazolam",56.12892702702703,-4.228913513513514
000233634,18 Sep 2025,CF10,MSJ,MSJ,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,51.48,-3.18
W069037,18 Sep 2025,HR9,nitrazepam,Not Stated,White,Tablet,Oral,No Effect,Nitrazepam,,51.908220588235295,-2.5675235294117646
W068961,18 Sep 2025,SW22,diazepam 5mg tablet,diazepam 5mg tablet teva,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.4548,-0.1158
W069013,18 Sep 2025,S10,Diazepam,acorrd Diazepam,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,53.35,-1.55
W069000,18 Sep 2025,LS10,alprazolam,Alprazolam,White,Tablet,Not Stated,Not Stated,Tramadol,,53.7496,-1.5494
W068730,18 Sep 2025,SW65,Xanax 2mg bar,Xanax 2mg,White,Tablet,Oral,Confusion,Ethylbromazolam,,51.4803,-0.1993
