,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W072353,2026-01-05,NW7,HEROIN,PD CREAM HEROIN,Brown,Powder,"Smoked, Snort / Sniff","Euphoria, Relaxed, Nausea","Heroin, Noscapine, 6-MAM, 6-Acetylcodeine",Papaverine,51.6094,-0.2273
W072427,2026-01-05,G63,HEROIN,T3-TRILOGY #3 CREAM,"Brown, Brown",Powder,Not Stated,Not Stated,"Heroin, Noscapine, 6-MAM, Diazepam, 6-Acetylcodeine","Phenacetin, Papaverine, Morphine",56.03654399999999,-4.3500119999999995
W072560,2026-01-13,E83,heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Noscapine, Heroin","6-MAM, Paracetamol, 6-Acetylcodeine, Papaverine, Caffeine",,
W069992,2026-01-13,EH76LD,heroin,heroin,"Grey, Brown",Powder,Intravenous,"Increased Confidence, Increased Stamina, Relaxed","Paracetamol, Noscapine, Caffeine, 6-Acetylcodeine","6-MAM, Papaverine, Metonitazene, Etonitazene",55.9521,-3.1965
W072769,2026-01-15,M30,Heroin,Not Stated,Brown,Powder,Intravenous,"Euphoria, Empathy, Relaxed, Nystagmus","Noscapine, Heroin","Paracetamol, 6-Acetylcodeine, Papaverine, 6-MAM",53.4833,-2.3333
W063076,2026-01-15,ML1,Heroin,Not Stated,"Orange, Pink",Powder,Smoked,"Breathlesness, Loss of consciousness, Overdose","Paracetamol, Noscapine, Caffeine, Heroin","6-MAM, Papaverine, Etonitazene",55.80563333333333,-3.95475
W072964,2026-01-19,NN12,heroin,Not Stated,White,Powder,Smoked,Not Stated,"N-propionitrile chlorphine, Medetomidine",,52.12114285714286,-1.03124
W072905,2026-01-19,NW7,heroin,the dream cream afghan,Brown,Powder,"Oral, Smoked, Snort / Sniff, Intramuscular","Euphoria, Increased Confidence, Relaxed","Heroin, Noscapine, 6-Acetylcodeine, 6-MAM","Papaverine, Paracetamol, Caffeine",51.6094,-0.2273
W072692,2026-01-19,EH3,Heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Paracetamol, Noscapine, Heroin, 6-MAM","Caffeine, Papaverine, Etonitazene, 6-Acetylcodeine",55.9521,-3.1965
W072675,2026-01-19,S11,heroin,heroin,Brown,Powder,Smoked,"Euphoria, Empathy, Auditory Hallucinations, Relaxed, Chest Pains, Nausea, Confusion, Panic Attack, Agitation, Insomnia","Heroin, Noscapine, 6-Acetylcodeine, 6-MAM","Papaverine, Diazepam",53.3608,-1.5084
W072678,2026-01-19,S11,Heroin,Heroin,Brown,Powder,Smoked,"Euphoria, Empathy, Relaxed","Noscapine, Paracetamol, Heroin, Caffeine","6-MAM, 6-Acetylcodeine, Papaverine",53.3608,-1.5084
W072676,2026-01-19,S11,Heroin,heroin,Brown,Powder,Smoked,"Euphoria, Increased Confidence, Empathy, Auditory Hallucinations, Relaxed, Loss of consciousness","Heroin, Noscapine, 6-MAM, 6-Acetylcodeine","Diazepam, Papaverine, Paracetamol, Phenacetin, Caffeine",53.3608,-1.5084
W072962,2026-01-23,NN12,heroin,Not Stated,Orange,Powder,Smoked,Not Stated,N-pyrrolidino protonitazene,,52.12114285714286,-1.03124
W069523,2026-01-23,AB42,Heroin,Black glass,"Brown, Black",Powder,Not Stated,Not Stated,"Noscapine, Heroin, 6-MAM, 6-Acetylcodeine","Papaverine, Caffeine",57.48231142857143,-1.924825714285714
W072907,2026-01-23,WR1,heroin,Not Stated,Brown,Powder,Intravenous,"Euphoria, Relaxed, Memory Loss, Confusion, Loss of consciousness","Paracetamol, Caffeine, Medetomidine, Clozapine, 6-MAM, Noscapine","6-Acetylcodeine, Heroin, Papaverine",52.1894,-2.22
W073055,2026-01-23,L8,Heroin,Afghan heroin,Brown,Powder,Not Stated,Not Stated,"Heroin, Noscapine, Phenacetin, 6-Acetylcodeine, Papaverine, 6-MAM, Paracetamol, Caffeine",Medetomidine,53.4106,-2.9779
W073110,2026-01-26,NW7,heroin,harrods pakistani deluxe heroin,Brown,Powder,"Smoked, Snort / Sniff, Intravenous","Euphoria, Relaxed, Breathlesness, Vomiting, Loss of consciousness","Heroin, Noscapine, Paracetamol, 6-Acetylcodeine","Caffeine, 6-MAM, Papaverine",51.6094,-0.2273
W073075,2026-01-26,EH48,Heroin,Not Stated,Brown,Powder,Snort / Sniff,Overdose,"Noscapine, Paracetamol, Diazepam, Caffeine, Etonitazene, Heroin","6-MAM, Papaverine",55.91305714285714,-3.6746285714285714
000234134,2026-01-28,NP20,Heroin,Not Stated,Brown,Liquid,Not Stated,Not Stated,"xylazine, Metonitazene, Phenacetin, Caffeine, Paracetamol","Protonitazene, 6-MAM, Noscapine, Cocaine, Heroin, 6-Acetylcodeine, Papaverine",51.5877,-2.9984
W069103,2026-01-28,EH6,heroin,Heroin,"Grey, Brown",Plant Matter,Smoked,"No Effect, Increased Energy, Increased Confidence, Relaxed","Paracetamol, Noscapine, Caffeine, Heroin","Metonitazene, 6-Acetylcodeine, Papaverine, 6-MAM",55.9617,-3.1844
W073291,2026-01-28,G31,heroin,heroin,Green,Liquid,Intravenous,"Memory Loss, Confusion, Panic Attack, Loss of consciousness, Insomnia, Irregular Heartbeat","Paracetamol, Caffeine, 6-MAM, Noscapine, Heroin","6-Acetylcodeine, Papaverine, Morphine",55.857,-4.209
W073170,2026-01-28,WR5,heroin,Not Stated,Brown,,Intravenous,Relaxed,"Cocaine, Noscapine, Paracetamol, 6-MAM, Medetomidine, Clozapine","Caffeine, Heroin, Papaverine, 6-Acetylcodeine, Norcocaine",52.1651,-2.1974428571428573
W073435,2026-02-03,G73,Heroin,heroin,Brown,Powder,Smoked,"Enhanced Senses, Nausea, Paranoia, Confusion, Panic Attack, Agitation","Noscapine, Paracetamol, Heroin","6-Acetylcodeine, 6-MAM, Papaverine",55.8289,-4.2138
