,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W044754,2023-12-22,NE35,Ketamine,Not Stated,White,Powder,Not Stated,Not Stated,Dihydrocodeine,,54.9503,-1.469
W044996,2024-01-04,CF10,S-isomer ketamine,Not Stated,White,Powder,Not Stated,Not Stated,Ketamine,,51.48,-3.18
W045041,2024-01-10,N16,Ketamine,Ketamine,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Increased Stamina, Increased Strength, Breathlesness, Chest Pains, Irregular Heartbeat, Agitation, Insomnia",Ketamine,,51.5625,-0.074
W044741,2024-01-10,Array,Ketamine,Not Stated,White,Crystalline,Not Stated,Not Stated,Ketamine,,,
W045092,2024-01-10,E14,Ketamine,Not Stated,White,Crystalline,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Increased Stamina, Increased Libido, Empathy, Relaxed",Ketamine,,51.50563529411765,-0.0187647058823529
W045047,2024-01-10,SA43,Ketamine,Not Stated,"White, White",Powder,Snort / Sniff,"Euphoria, Enhanced Senses, Relaxed, Confusion, Agitation",Ketamine,,52.07603076923077,-4.6376
W047442,2024-01-11,SW3,ketamine,Ketamine,,Crystalline,Not Stated,Not Stated,Ketamine,,51.487975000000006,-0.165875
W047515,2024-01-15,CB6,Ketamine,S ketamine,White,Crystalline,Snort / Sniff,"Enhanced Senses, Visual Hallucinations, Breathlesness, Array, Chest Pains, Irregular Heartbeat, Memory Loss, Confusion",Ketamine,,52.39728823529411,0.2001647058823529
000231917,2024-01-15,LL12,Ketamine,Not Stated,White,Powder,Snort / Sniff,Not Stated,Ketamine,,53.104020000000006,-3.0036
W047431,2024-01-15,S105,Ketamine,Ketaset,White,Powder,Not Stated,Not Stated,Diazepam,,53.35,-1.55
W047656,2024-01-18,DY10,Ketamine,Vevo ketamine,White,Crystalline,Not Stated,Not Stated,Ketamine,,52.3848,-2.212788888888889
W047664,2024-01-18,BH23,Ketotifen,Ketotifen,White,Tablet,Oral,"Relaxed, Tiredness",Unable to identify,,50.755406666666666,-1.7577666666666665
W047672,2024-01-23,RG1,ketamine,Not Stated,Colourless,Granules,Not Stated,Not Stated,Ketamine,,51.4563,-0.9711
W047738,2024-01-23,S61,ketamine,Not Stated,White,Crystalline,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Empathy, Relaxed, Chest Pains, Nosebleeds",Ketamine,,53.4567,-1.3738
W047679,2024-01-24,BN2,Ketamine,Ketamine,White,Powder,Not Stated,Not Stated,Ketamine,,50.823825,-0.082825
