,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W072830,2026-01-15,DD1,DIAZEPAM,Not Stated,White,Tablet,Not Stated,Not Stated,Medetomidine,,56.461,-2.9766
W072964,2026-01-19,NN12,heroin,Not Stated,White,Powder,Smoked,Not Stated,"N-propionitrile chlorphine, Medetomidine",,52.12114285714286,-1.03124
W073055,2026-01-23,L8,Heroin,Afghan heroin,Brown,Powder,Not Stated,Not Stated,"Heroin, Noscapine, Phenacetin, 6-Acetylcodeine, Papaverine, 6-MAM, Paracetamol, Caffeine",Medetomidine,53.4106,-2.9779
W072907,2026-01-23,WR1,heroin,Not Stated,Brown,Powder,Intravenous,"Euphoria, Relaxed, Memory Loss, Confusion, Loss of consciousness","Paracetamol, Caffeine, Medetomidine, Clozapine, 6-MAM, Noscapine","6-Acetylcodeine, Heroin, Papaverine",52.1894,-2.22
W072844,2026-01-23,EN2,Spice,Not Stated,White,Blotter paper,Not Stated,Not Stated,"xylazine, MDMB-BUTINACA",,51.6515,-0.085
W073170,2026-01-28,WR5,heroin,Not Stated,Brown,,Intravenous,Relaxed,"Cocaine, Noscapine, Paracetamol, 6-MAM, Medetomidine, Clozapine","Caffeine, Heroin, Papaverine, 6-Acetylcodeine, Norcocaine",52.1651,-2.1974428571428573
000234134,2026-01-28,NP20,Heroin,Not Stated,Brown,Liquid,Not Stated,Not Stated,"xylazine, Metonitazene, Phenacetin, Caffeine, Paracetamol","Protonitazene, 6-MAM, Noscapine, Cocaine, Heroin, 6-Acetylcodeine, Papaverine",51.5877,-2.9984
W073552,2026-02-06,WF2,heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"N-pyrrolidino protonitazene, Paracetamol, N-propionitrile chlorphine, Heroin, Medetomidine, Caffeine, Noscapine","N-desethylprotonitazene, Etodezitramide, 6-MAM, Papaverine",53.66534,-1.51568
W073853,2026-02-10,SW11,Bromazolam,bromazolam,White,Blotter paper,Not Stated,Not Stated,Bromazolam,Medetomidine,51.469166666666666,-0.1619333333333333
000233528,2026-02-17,NP20,HEROIN,Not Stated,Brown,Powder,Not Stated,Not Stated,xylazine,"Phenacetin, Metonitazene, Paracetamol, Caffeine, Protonitazene, nitrazolam, Bromazolam, Noscapine, 6-MAM",51.5877,-2.9984
W074594,2026-03-09,CA1,diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Medetomidine,,54.89065,-2.92565
W074455,2026-03-10,EH47,HEROIN,Not Stated,Brown,Powder,Smoked,"Increased Confidence, Increased Stamina, Increased Libido, Relaxed, Nausea, Memory Loss, Loss of consciousness","Paracetamol, Noscapine, Caffeine, 6-MAM, Heroin","Papaverine, Medetomidine",55.85647142857143,-3.669085714285714
W075141,2026-03-20,NW7,30mg v48/12 oxycodone pill,v48/12 blue pill chapd drughub,Blue,Tablet,Snort / Sniff,"Euphoria, Relaxed, Breathlesness, Irregular Heartbeat, Nausea, Vomiting, Memory Loss, Confusion, Loss of consciousness",Medetomidine,AB-MDMSBA,51.6094,-0.2273
W075561,2026-04-09,EH47,heroin,Heroin,Red,Powder,Smoked,"Euphoria, Relaxed, Breathlesness, Irregular Heartbeat, Agitation","Paracetamol, Caffeine, Noscapine, 6-MAM, Medetomidine","Heroin, Dimethocaine, Papaverine",55.85647142857143,-3.669085714285714
W076047,2026-04-22,BD10,Clonidine,Catapres 100mg,White,Tablet,Not Stated,Not Stated,Clonidine,,53.8328,-1.7255
W100040,2026-05-01,M1,heroin,,Grey,Powder,Snort / Sniff,"Auditory hallucinations, Visual hallucinations, Relaxed","Heroin, Medetomidine, Morphine, 6 Monoacetyl, Noscapine, Paracetamol","Acetylcodeine, Caffeine, Papaverine",53.4809,-2.2374
W100508,2026-05-11,FK10,Valium,Not stated,White,Tablet,Oral,"Relaxed, Panic attack, Loss of consciousness",Medetomidine,,56.10687777777778,-3.7534
W100507,2026-05-11,FK7,valium,Not stated,White,Tablet,Oral,"Relaxed, Confusion, Panic attack, Loss of consciousness",Medetomidine,,56.0861125,-3.9108875
W100517,2026-05-11,FK10,valium,Not stated,White,Tablet,Not stated,"Relaxed, Memory loss, Confusion, Agitation, Loss of consciousness",Medetomidine,,56.10687777777778,-3.7534
W076221,2026-05-11,OX11,xanax 2mg,xanax 2mg,White,Tablet,Oral,"Relaxed, Memory loss",Medetomidine,,51.58721666666667,-1.2355166666666666
W100518,2026-05-11,FK10,Valium,Not stated,White,Tablet,Not stated,"Increased senses, Relaxed, Paranoia, Memory loss, Confusion, Agitation, Depression, Loss of consciousness",Medetomidine,,56.10687777777778,-3.7534
W100549,2026-05-11,FK77,Diazepam,Not stated,White,Tablet,Oral,"Chest pains, Memory loss, Loss of consciousness",Medetomidine,,56.0861125,-3.9108875
W072611,2026-05-14,FK1,DIAZEPAM,Not stated,White,Tablet,Oral,"Auditory hallucinations, Memory loss, Confusion, Loss of consciousness",Medetomidine,,55.96849090909091,-3.796481818181818
000236839,2026-05-14,CF63,HEROIN,Not stated,Brown,Powder,Smoked,"Confusion, Loss of consciousness","Heroin, Morphine, 6 Monoacetyl, Noscapine, Papaverine, Paracetamol","Acetylcodeine, Caffeine, Medetomidine",51.4172,-3.2614
W076256,2026-05-26,Not stated,Street valium,Not stated,White,Tablet,Oral,"Increased confidence, Relaxed, Agitation, Depression, Loss of consciousness",Medetomidine,,,
W101032,2026-05-29,EH48,HEROIN,Not stated,Brown,Powder,Smoked,"Euphoria, Empathy, Relaxed, Confusion, Loss of consciousness","Caffeine, Morphine, 6 Monoacetyl, Noscapine, Paracetamol","Acetylcodeine, Dimethocaine, Medetomidine, Morphine, Papaverine",55.91305714285714,-3.6746285714285714
W101031,2026-05-29,EH48,HEROIN,Not stated,Brown,Powder,Smoked,"Euphoria, Empathy, Relaxed, Confusion","Caffeine, Medetomidine, Morphine, 6 Monoacetyl, Noscapine, Paracetamol","Dimethocaine, Heroin, Papaverine",55.91305714285714,-3.6746285714285714
W100279,2026-06-06,EH54,heroin,Not stated,Brown,Powder,Intravenous,"Euphoria, Memory loss, Depression, Loss of consciousness","Acetylcodeine, Heroin, Morphine, 6 Monoacetyl, Noscapine, Papaverine","Etonitazene, Medetomidine, Metonitazene, Tetracaine",55.9029,-3.5226
