,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W067443,05 Aug 2025,CH54,Heroin,Not Stated,Grey,Powder,Intravenous,"Relaxed, Breathlesness, Irregular Heartbeat, Panic Attack, Loss of consciousness, Agitation","Noscapine, Heroin, 6-MAM, Paracetamol, Caffeine, 6-Acetylcodeine","Papaverine, Etonitazene, Metonitazene, Dextromethorphan",53.19930000000001,-3.03614
W066868,21 Jul 2025,AB42,Unknown,Not Stated,Brown,Granules,Smoked,"Euphoria, Relaxed, Loss of consciousness","Noscapine, Heroin, Etonitazene, Paracetamol",Papaverine,57.48231142857143,-1.924825714285714
W066846,17 Jul 2025,KY13,unknown,Not Stated,Brown,Powder,Intravenous,"Increased Energy, Increased Confidence, Increased Stamina, Euphoria, Loss of consciousness, Overdose","Caffeine, Paracetamol, Noscapine, Heroin","6-MAM, Etonitazene",56.205405263157886,-3.465305263157895
W066813,17 Jul 2025,G20,Heroin,Not Stated,Green,,Snort / Sniff,"Auditory Hallucinations, Breathlesness, Chest Pains, Memory Loss, Confusion, Panic Attack, Insomnia, Depression","Noscapine, Paracetamol, Heroin, Caffeine, 6-MAM, 6-Acetylcodeine, Papaverine",Etonitazene,55.8906,-4.2904
W066869,17 Jul 2025,AB42,heroin,Not Stated,Brown,Solid,Smoked,"Euphoria, Relaxed, Breathlesness, Nausea, Vomiting, Memory Loss, Loss of consciousness","Noscapine, Heroin, 6-MAM, Paracetamol, Metonitazene, 6-Acetylcodeine","Caffeine, Papaverine",57.48231142857143,-1.924825714285714
W066488,08 Jul 2025,AB43,heroin,Not Stated,"Orange, Brown",Liquid,Intravenous,"Relaxed, Chest Pains, Irregular Heartbeat, Paranoia, Agitation, Insomnia, Loss of consciousness","6-MAM, Noscapine, Heroin, Papaverine, Caffeine, Paracetamol, 6-Acetylcodeine, Etonitazene, Morphine","Metonitazene, Dextromethorphan",57.65489545454545,-2.046884090909091
W066390,03 Jul 2025,EH47,heroin,Not Stated,"White, Grey",Powder,Intramuscular,"Euphoria, Increased Energy, Increased Confidence, Relaxed","Paracetamol, Codeine, Noscapine, Etonitazene",Heroin,55.85647142857143,-3.669085714285714
000231870,01 Jul 2025,LL65,heroin,Not Stated,Brown,,Intravenous,"Euphoria, Relaxed, Memory Loss, Confusion, Panic Attack","Heroin, Noscapine, 6-MAM, Paracetamol, 6-Acetylcodeine, Papaverine",Metonitazene,53.289686206896555,-4.534455172413793
000236419,01 Jul 2025,NP20,heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Paracetamol, Noscapine, Heroin, Caffeine, Diazepam","Etonitazene, 6-Acetylcodeine, 6-MAM, Papaverine, Metonitazene",51.5877,-2.9984
W066179,01 Jul 2025,RM14,Alprazolam,Xanac 2mg Bar,White,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Nausea, Vomiting","Cocaine, Phenacetin","N-desethylisotonitazene, Ketamine",51.554525,0.273875
W066188,01 Jul 2025,AB24,heroin,Not Stated,Brown,Granules,Smoked,Relaxed,"Noscapine, Etonitazene, Heroin, 6-MAM",Papaverine,57.1437,-2.0981
W066112,25 Jun 2025,,Oxy,Not Stated,Blue,Tablet,Not Stated,Not Stated,Metonitazene,,51.509865,-0.118092
W065751,24 Jun 2025,YO10,Oxycodone,Not Stated,"Green, White",Tablet,Not Stated,Not Stated,"N,N-dimethyletonitazene",,53.9576,-1.0827
W065559,17 Jun 2025,SR3,Protonitazene,Not Stated,White,Blotter paper,Smoked,"Euphoria, Enhanced Senses, Relaxed, Breathlesness, Memory Loss, Agitation",Protonitazene,,54.874233333333336,-1.4153666666666669
