,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W059740,2024-11-19,NE66,Isotonitazene,Not Stated,"Colourless, Yellow",Powder,Intravenous,"Euphoria, Empathy, Relaxed",Isotonitazepyne,,55.419943396226415,-1.7907415094339625
W065559,2025-06-17,SR3,Protonitazene,Not Stated,White,Blotter paper,Smoked,"Euphoria, Enhanced Senses, Relaxed, Breathlesness, Memory Loss, Agitation",Protonitazene,,54.874233333333336,-1.4153666666666669
W066136,2025-07-01,TW9,Nitazene,oxycodeone (nitazene substance) ,Green,Tablet,Not Stated,Not Stated,Promethazine,,51.47153333333333,-0.2963666666666666
W069130,2025-09-22,DH11,A Benzimidazole Opioid-(Nitazene),"""Artificial heroin"" (NOT #3 or 4)","Yellow, Brown",Powder,Intravenous,"Euphoria, Empathy, Relaxed, Loss of consciousness","N-propionitrile chlorphine, Noscapine, Heroin, Paracetamol, Medetomidine, Caffeine","6-MAM, 6-Acetylcodeine, Papaverine",54.77482,-1.56714
W069131,2025-09-22,DH11,(A) NITAZENE (UNSURE WHICH),ARTIFICIAL HEROIN (NITAZENE,"Yellow, Brown",Powder,Not Stated,Not Stated,"Paracetamol, Noscapine, Medetomidine, Diazepam, 6-MAM, Caffeine, Heroin, N-desethylprotonitazene","6-Acetylcodeine, Papaverine",54.77482,-1.56714
W070343,2025-10-30,CM23,Nitazene &amp; protonitazene,Not Stated,"Orange, Brown",Powder,Snort / Sniff,Not Stated,N-pyrrolidino protonitazene,,51.89539,0.15618
W071006,2025-11-18,CF43,Nitazene,Desethylprotonitazene,Yellow,Powder,Not Stated,Not Stated,N-desethylprotonitazene,,51.66792,-3.4671
W071157,2025-11-24,SY87,Pressed nitazenes,V48/12,Blue,Tablet,Oral,Relaxed,AB-MDMSBA,,52.36667333333334,-2.6940066666666667
W072007,2025-12-22,SR3,Desethylprotonitazene,Not Stated,Yellow,Powder,Not Stated,Not Stated,N-desethylprotonitazene,,54.874233333333336,-1.4153666666666669
W072421,2026-01-06,DH11,Metonitazene + etonitazene,artical heroin,"White, Grey",Powder,Not Stated,Not Stated,"Noscapine, Paracetamol, Heroin, Caffeine","Papaverine, 6-MAM",54.77482,-1.56714
W072423,2026-01-13,DH11,Nitazene ,M30 oxy,"White, Blue",Tablet,Not Stated,Not Stated,Metonitazene,,54.77482,-1.56714
W104180,2026-08-18,SM2,Nitazenes Heroin,Not stated,Brown,Powder,Intravenous,"Euphoria, Relaxed, Paranoia, Memory loss, Confusion, Depression, Loss of consciousness","unknown fentanyl, Caffeine, Paracetamol","Ethylflualprazolam, Medetomidine",51.351,-0.1994
