,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W044679,2023-12-21,HG1,heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Metonitazene, Isotonitazene, Paracetamol, Noscapine, Phenacetin, Caffeine, 6-MAM","Papaverine, 6-Acetylcodeine",53.99700000000001,-1.5357666666666667
000037322,2024-01-04,NP22,Heroin,Not Stated,White,Granules,Smoked,"Euphoria, Relaxed","Heroin, Noscapine, Paracetamol, 6-MAM","Phenacetin, Caffeine, Papaverine",51.7725,-3.2468
100002911,2024-01-04,G51,Crack Cocaine,Not Stated,White,Crystalline,Smoked,"Increased Stamina, Irregular Heartbeat, Memory Loss","Cocaine, Phenacetin",,55.8633,-4.3124
000042755,2024-01-25,CF11,Heroin+crack,Not Stated,Brown,Solid,Not Stated,Not Stated,"Heroin, Noscapine, Cocaine","Phenacetin, Papaverine",51.48,-3.18
W048237,2024-02-06,CF63,Diazepam,Diazepam,Blue,Tablet,Oral,No Effect,Phenacetin,,51.4172,-3.2614
W048242,2024-02-09,CF40,cocaine,Not Stated,White,Granules,Snort / Sniff,"Auditory Hallucinations, Visual Hallucinations, Breathlesness, Paranoia, Memory Loss, Confusion, Loss of consciousness, Depression",Cocaine,Phenacetin,51.627316666666665,-3.461883333333333
W047680,2024-02-13,WR9,Heroin,Not Stated,White,Powder,Not Stated,Not Stated,"Heroin, Noscapine, Phenacetin, Paracetamol, 6-MAM, Thebacon","Caffeine, Papaverine",52.26260476190476,-2.1635809523809524
W048967,2024-02-29,SE7,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,"Cocaine, Phenacetin",,51.4842,0.0339
W049033,2024-03-04,L15,Cocaine,Cocaine,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Irregular Heartbeat, Paranoia, Confusion",Cocaine,"Phenacetin, Levamisole, Procaine, Norcocaine",53.3975,-2.9206
W049180,2024-03-07,GL5,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses",Cocaine,Phenacetin,51.7366,-2.21976
W053589,2024-03-07,G12,Cocaine,Flamingo,White,Powder,Not Stated,Not Stated,"Cocaine, Phenacetin",,55.8804,-4.3007
W053664,2024-03-07,FK10,Cocaine,Not Stated,White,Powder,"Smoked, Snort / Sniff","Euphoria, Increased Energy, Increased Confidence, Increased Stamina","Cocaine, Phenacetin",,56.10687777777778,-3.7534
W053452,2024-03-07,RG12,Cocaine,YAZ,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Increased Strength, Nosebleeds, Insomnia",Cocaine,Phenacetin,51.4007,-0.7635
W049099,2024-03-07,KT12,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Increased Libido",Cocaine,"Phenacetin, Procaine, Levamisole",51.3765,-0.4111
W049181,2024-03-12,GL54,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Increased Stamina, Chest Pains, Agitation","Cocaine, Phenacetin",,51.88724642857143,-1.8609214285714288
W049652,2024-03-20,G12,Cocaine,OMI Stamp,White,Powder,Not Stated,Not Stated,"Cocaine, Phenacetin",Levamisole,55.8804,-4.3007
W049438,2024-03-20,EH11,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,"Cocaine, Ketamine",Phenacetin,55.9326,-3.2531
W049125,2024-03-28,CF83,Diazepam,Diazepam,Blue,Tablet,Oral,No Effect,Phenacetin,,51.59288333333333,-3.2333833333333337
W049859,2024-03-28,N16,Cocaine,Coke,White,Powder,Not Stated,Not Stated,"Cocaine, Levamisole, Phenacetin",,51.5625,-0.074
W053493,2024-04-07,EH8,Cocaine,Not Stated,White,Powder,Intravenous,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Increased Strength, Empathy, Auditory Hallucinations, Relaxed, Nausea, Confusion, Insomnia","Cocaine, Phenacetin",,55.9489,-3.1632
W053368,2024-04-07,AB51,Crack,Not Stated,White,Solid,Smoked,"Breathlesness, Memory Loss, Confusion, Panic Attack, Loss of consciousness","Cocaine, Phenacetin",Benzoylecgonine,57.276892045454545,-2.442275
W050066,2024-04-09,TS1,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,Phenacetin,54.5762,-1.2348
W050181,2024-04-09,DH81,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Phenacetin",Norcocaine,54.848482608695655,-1.9295739130434784
000235013,2024-04-12,CF10,Magic,Not Stated,White,Granules,Not Stated,Not Stated,"Cocaine, Phenacetin","Heroin, Noscapine, Paracetamol, 6-MAM",51.48,-3.18
W050395,2024-04-15,EH41,Diazepam,Not Stated,Blue,Powder,Not Stated,Not Stated,"Bromazolam, Phenacetin",,55.92442,-2.74208
W050503,2024-04-22,G72,Cocaine,Not Stated,White,Powder,Snort / Sniff,Increased Energy,"Cocaine, Phenacetin",,55.80098,-4.12986
W051118,2024-04-23,SE17,Cocaine,Not Stated,White,Powder,Snort / Sniff,Increased Energy,"Cocaine, Phenacetin",,51.48563333333333,-0.1028333333333333
W051410,2024-04-30,DH8,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Relaxed",Cocaine,"Phenacetin, Benzocaine",54.848482608695655,-1.9295739130434784
000039605,2024-05-10,CF81,Cocaine,Not Stated,White,Powder,Not Stated,"Euphoria, Increased Confidence, Increased Energy, Increased Stamina, Empathy, Irregular Heartbeat","Cocaine, Phenacetin",,51.710483333333336,-3.265
W051384,2024-05-10,DY10,Cocaine,flurrg 11,White,Powder,Not Stated,Not Stated,"Cocaine, Levamisole",Phenacetin,52.3848,-2.212788888888889
W052548,2024-06-04,SW18,Cocaine,Esnortior,White,Powder,Not Stated,Not Stated,Cocaine,"Procaine, Phenacetin, Levamisole",51.4489,-0.1971
000232600,2024-06-10,CF10,Valium,Not Stated,Blue,Tablet,Not Stated,Not Stated,Etizolam,Phenacetin,51.48,-3.18
W052880,2024-06-11,CV32,Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Phenacetin,,52.303333333333335,-1.5231666666666666
W052879,2024-06-11,CV32,Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Phenacetin,,52.303333333333335,-1.5231666666666666
W052986,2024-06-18,AB43,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Increased Libido, Irregular Heartbeat, Insomnia","Cocaine, Levamisole, Procaine","Phenacetin, Norcocaine",57.65489545454545,-2.046884090909091
W053629,2024-07-02,EC17,Cocaine,Not Stated,White,Powder,Snort / Sniff,Not Stated,"Ketamine, Levamisole","Phenacetin, MDMA, Cocaine",51.52320909090909,-0.1055181818181818
000233760,2024-07-09,CF10,Unknown,Not Stated,White,Powder,Not Stated,Not Stated,"Cocaine, Procaine","Benzoylecgonine, Phenacetin",51.48,-3.18
000233763,2024-07-09,CF10,Heroin,Not Stated,,,Not Stated,"Overdose, Breathlesness","Noscapine, 6-MAM, Papaverine, Heroin","6-Acetylcodeine, Protonitazene, Morphine, Phenacetin",51.48,-3.18
W054142,2024-07-22,SG12,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,Phenacetin,51.819266666666664,-0.0074866666666666
W054264,2024-07-23,LU4,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Increased Stamina",Cocaine,"Procaine, Phenacetin",51.91505,-0.48075
000231898,2024-07-25,LL18,Heroin,Not Stated,"Black, Brown",Powder,Intravenous,"Breathlesness, Nausea, Confusion",Noscapine,"6-MAM, Heroin, Phenacetin, 6-Acetylcodeine, Papaverine",53.291819999999994,-3.45482
W054807,2024-08-05,CF5,Crack,Not Stated,White,,Smoked,"Nausea, Dizziness, Itching, Numbness","Cocaine, Phenacetin",Benzoylecgonine,51.471875,-3.275816666666667
W054706,2024-08-05,CA28,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Increased Libido",Cocaine,"Loratadine, Phenacetin",54.55781666666667,-3.5837
W057074,2024-08-28,RM9,Oxy,Oxy,Yellow,Tablet,Not Stated,Not Stated,"Isotonitazepyne, Phenacetin",,51.5529,0.129
W057073,2024-08-28,RM9,Not Stated,Oxy,Yellow,Tablet,Not Stated,Not Stated,Phenacetin,,51.5529,0.129
