,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W045032,2024-01-04,BN26,LSD,Mankind Gammagoblin Geometry,White,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,50.81958181818182,0.1777
W044808,2024-01-04,BN10,LSD Pyramid gel,Not Stated,Orange,Solid,Oral,"Euphoria, Increased Energy, Visual Hallucinations, Breathlesness, Irregular Heartbeat, Confusion, Agitation",Lysergic acid diethylamide,,50.7927,-0.0065
W045083,2024-01-10,OL8,LSD,Not Stated,"White, Red",Blotter paper,Oral,"Enhanced Senses, Visual Hallucinations, Agitation, Insomnia",Lysergic acid diethylamide,,53.526,-2.1173
W045094,2024-01-10,AL1,2C-B,2C-B,"White, Pink",Tablet,Not Stated,Not Stated,2C-B,,51.75,-0.3333
W047504,2024-01-16,PE3,LSD,LSD,,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,52.567,-0.283
W047647,2024-01-18,SW1V,LSD,Not Stated,"Blue, Brown",Blotter paper,Oral,"Euphoria, Increased Energy, Enhanced Senses, Auditory Hallucinations, Visual Hallucinations, Memory Loss, Confusion, Insomnia",Lysergic acid diethylamide,,51.5085,-0.1257
W047659,2024-01-23,M32,DMT,DMT,White,Powder,Smoked,No Effect,DMT,,53.45,-2.3167
W047787,2024-01-24,DN12,LSD,LSD,"Yellow, Black",Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,53.4851,-1.2453
W047788,2024-01-24,B78,4-HO-MET,Not Stated,"White, Grey",Powder,Oral,Visual Hallucinations,4-HO-MET,,52.60483333333334,-1.6935888888888888
W047525,2024-01-30,LE15,4-AcO-DMT,Not Stated,Orange,Powder,Not Stated,Not Stated,Unable to identify,,52.64713725490195,-0.6979862745098039
W047526,2024-01-30,LE15,4-HO-MET,Not Stated,White,Powder,Oral,"Visual Hallucinations, Agitation",No Active Component Identified,,52.64713725490195,-0.6979862745098039
W048053,2024-01-31,RG1,2C-B,Not Stated,Green,Powder,Not Stated,Not Stated,2C-B,,51.4563,-0.9711
W048158,2024-02-05,LL19,2C-B,Not Stated,Yellow,Tablet,Not Stated,Not Stated,2C-B,,53.3274,-3.4080333333333335
W048342,2024-02-09,G12,LSD,Not Stated,"White, Blue",Blotter paper,Not Stated,Not Stated,No Active Component Identified,,55.8804,-4.3007
W048326,2024-02-09,NN29,magic mushroom,Not Stated,Grey,Plant Matter,Oral,"Increased Energy, Nausea, Confusion",Psilocin,,52.252833333333335,-0.6674777777777777
W048202,2024-02-09,HA2,Psilocybin ,Magic mushroom ,Brown,Capsule,Not Stated,Not Stated,Psilocin,,51.59148,-0.35392
W048337,2024-02-13,G12,4-AcO-DMT,4-AcO-DMT powder,"Grey, Brown",Powder,Not Stated,Not Stated,4-AcO-DMT,Psilocin,55.8804,-4.3007
W048436,2024-02-15,NP21,2c-B,2C-B,Grey,Tablet,Not Stated,Not Stated,2C-B,,,
W048492,2024-02-15,NG18,LSD,LSD,"Orange, Green",Array,Not Stated,Not Stated,Lysergic acid diethylamide,,53.1333,-1.2
W048391,2024-02-15,DY10,Mushroom microdose,Getlaco microdose,"White, Grey",Capsule,Not Stated,Not Stated,Psilocin,,52.3848,-2.212788888888889
W048587,2024-02-19,N11,Psilocybin (4-AcO-DMT),1!up marro mushroom,White,Array,Not Stated,Not Stated,4-AcO-DMT,Psilocin,51.6165,-0.1441
W048588,2024-02-19,N11,Psilocybin (4-AcO-DMT),1up mushroom,Red,Tablet,Not Stated,Not Stated,4-AcO-DMT,Psilocin,51.6165,-0.1441
W048540,2024-02-27,CF63,2C-B,Goomba 2CB tablets,Blue,Tablet,Oral,No Effect,2C-B,,51.4172,-3.2614
W048867,2024-02-27,HA4,magic mushroom,Not Stated,Brown,Capsule,Not Stated,Not Stated,Psilocin,,51.5734,-0.4234
W048851,2024-02-27,NE12,LSD,Not Stated,Green,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,MDMA,55.029,-1.5676
W048739,2024-02-27,WN8,Mushroom Chocolate,Not Stated,Brown,Solid,Not Stated,Not Stated,"Psilocin, Theobromine, Caffeine",,53.5623,-2.7659875
W048531,2024-02-27,EH5,2C-B,Not Stated,Yellow,Capsule,Not Stated,Not Stated,2C-B,,55.9757,-3.2217
W048529,2024-02-27,EH5,Mushroom capsule,Not Stated,Green,Capsule,Not Stated,Not Stated,Psilocin,,55.9757,-3.2217
W048738,2024-02-27,WN8,Mushroom chocolate,Not Stated,Brown,Solid,Not Stated,Not Stated,"Psilocin, Theobromine, MDMA",,53.5623,-2.7659875
W048688,2024-02-27,M25,LSD,LSD,Colourless,Blotter paper,Oral,"Euphoria, Increased Energy, Enhanced Senses, Empathy, Auditory Hallucinations, Visual Hallucinations, Relaxed, Nausea",Lysergic acid diethylamide,,53.5333,-2.2833
W048976,2024-02-29,SG8,Magic Mushrooms,Not Stated,"Grey, Brown",Powder,Oral,"Euphoria, Enhanced Senses, Visual Hallucinations, Relaxed, Memory Loss",Psilocin,,52.07207058823529,-0.0231647058823529
W053633,2024-03-07,BS30,2C-B,Yellow pill,Yellow,Tablet,Not Stated,Not Stated,2C-B,,51.44770909090909,-2.4621636363636363
W049097,2024-03-07,BS32,LSD,Bart Simpson Acid,White,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.5441,-2.5582
W049350,2024-03-12,E12,2C-I,Not Stated,White,Powder,Not Stated,Not Stated,2C-I,,51.5508,0.0527999999999999
W049351,2024-03-12,E12,4-HO-MET,Not Stated,Grey,Powder,Not Stated,Not Stated,4-HO-MET,,51.5508,0.0527999999999999
W049137,2024-03-12,L17,4-AcO-DMT,Not Stated,Pink,Tablet,Not Stated,Not Stated,4-AcO-DMT,,53.3653,-2.9178
W049352,2024-03-12,E12,2C-B,Not Stated,White,Powder,Not Stated,Not Stated,2C-B,,51.5508,0.0527999999999999
W049190,2024-03-12,LA13,4-AcO-DMT,Not Stated,Pink,Tablet,Not Stated,Not Stated,4-AcO-DMT,,54.11367142857143,-3.193485714285714
W049072,2024-03-12,HA1,NBOH,Pickle,"Green, White",Blotter paper,Oral,"Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Increased Libido, Auditory Hallucinations, Visual Hallucinations",25B-NBOH,,51.5774,-0.33615
W049130,2024-03-12,S70,LSD,Not Stated,White,Powder,Oral,"Confusion, Agitation",Ketamine,,53.53123333333334,-1.4773333333333334
W049459,2024-03-15,BD5,Magic mushrooms,Not Stated,Brown,Powder,Not Stated,Not Stated,Psilocin,,53.7939,-1.7521
W049456,2024-03-15,BD5,LSD,Not Stated,"White, Purple",Blotter paper,Oral,"Euphoria, Increased Confidence, Enhanced Senses, Empathy, Auditory Hallucinations, Visual Hallucinations, Paranoia, Confusion",Lysergic acid diethylamide,,53.7939,-1.7521
W049070,2024-03-15,HA1,NBOH,B+W,"White, Black",Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.5774,-0.33615
W049469,2024-03-15,BS5,5-MeO-DMT,Not Stated,White,Crystalline,Not Stated,Not Stated,5-MeO-DMT,,51.462,-2.5519
W049470,2024-03-15,BS5,4-AcO-DMT,Not Stated,Brown,Powder,Not Stated,Not Stated,"4-AcO-DMT, Psilocin",,51.462,-2.5519
W049382,2024-03-15,GU7,DMT,Not Stated,Brown,Crystalline,Smoked,"Nausea, Vomiting, Confusion",DMT,,51.1846,-0.6173
W049495,2024-03-18,G12,LSD,Yeti Blotter,"Pink, Blue",Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,55.8804,-4.3007
W049757,2024-03-25,SL7,4-AcO-DMT,Not Stated,Brown,Powder,Not Stated,Not Stated,4-AcO-DMT,,51.5658,-0.78258
W049613,2024-03-28,N16,2C-B powder,Not Stated,Brown,Powder,Not Stated,Not Stated,2C-B,,51.5625,-0.074
W049841,2024-03-28,N16,DMT,DMT,Brown,Powder,Not Stated,Not Stated,MDMA,,51.5625,-0.074
W049973,2024-04-02,OX1,LSD,South Park,White,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.72478,-1.275
W049996,2024-04-03,B31,Psilocybin,Not Stated,"White, Brown",Plant Matter,Not Stated,Not Stated,"Psilocybin, Psilocin",,52.40835,-1.975
W049984,2024-04-05,EH8,MUSHROOMS,N/A,"Yellow, Brown",Array,Not Stated,Not Stated,Psilocin,,55.9489,-3.1632
W050025,2024-04-05,PO77,5 Meo - DMT,DMT,Brown,Powder,Not Stated,Not Stated,5-MeO-DMT,,50.8953875,-1.0532125
W050161,2024-04-09,RM78,LSD,Not Stated,,Tablet,Not Stated,"Increased Energy, Paranoia, Memory Loss, Confusion, Panic Attack, Agitation, Depression",Lysergic acid diethylamide,,51.5602,0.1792
W049629,2024-04-09,SL4,Mushroom Chocolates,Polkadot bar,Brown,Solid,Oral,"Increased Energy, Increased Confidence, Enhanced Senses, Auditory Hallucinations, Visual Hallucinations, Relaxed",No Active Component Identified,,51.47827692307692,-0.6311692307692307
W049628,2024-04-09,SL4,Mushroom chocolate,Shoom bar,Brown,Solid,Oral,"Increased Energy, Increased Confidence, Enhanced Senses, Auditory Hallucinations, Visual Hallucinations",No Active Component Identified,,51.47827692307692,-0.6311692307692307
W049627,2024-04-09,SL4,Mushroom chocolate,1up bar,Brown,Solid,Oral,"Euphoria, Array, Increased Confidence, Increased Energy, Enhanced Senses, Auditory Hallucinations, Visual Hallucinations, Relaxed",Psilocin,,51.47827692307692,-0.6311692307692307
W050148,2024-04-10,CT9,Mushroom ChocoBar,1Up Mushroom Bar,Brown,Solid,Oral,"Euphoria, Enhanced Senses, Auditory Hallucinations, Visual Hallucinations, Relaxed","Psilocin, Theobromine",,51.385000000000005,1.3956
W050350,2024-04-12,CH41,DMT,DMT,"Orange, Yellow",Powder,Not Stated,Not Stated,DMT,,53.4015,-3.0163
W050258,2024-04-12,BS5,Mushroom chocolate,Not Stated,Brown,Solid,Not Stated,Not Stated,Psilocin,,51.462,-2.5519
W050417,2024-04-15,UB6,LSD,LSD,White,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.534099999999995,-0.33285
W050559,2024-04-18,N17,LSD,The Simpsons,"White, Pink",Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.59922,-0.07094
W050538,2024-04-22,LA1,LSD,Not Stated,Pink,Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,54.0316,-2.7915
