,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W047795,2024-01-26,KA36,Tepentadol 100mg,Etadol 100,Orange,Tablet,Not Stated,Not Stated,Tapentadol,,55.64550714285714,-4.502764285714286
W047794,2024-01-26,KA36,Tapemtadol 10mg,Etadol - 100 ,Orange,Tablet,Not Stated,Not Stated,Tapentadol,,55.64550714285714,-4.502764285714286
W048398,2024-02-13,CH62,Tapentadol Aspadol 100mg,Tapentadol Aspadol 100mg,Orange,Tablet,Oral,Vomiting,Tapentadol,,53.3339,-2.9815
W048421,2024-02-15,FY5,Tapentadol,Tapentadol AZ,White,Tablet,Not Stated,"Euphoria, Empathy, Relaxed, Chest Pains",Tapentadol,,53.87266666666667,-3.0295166666666664
W049407,2024-03-15,DE21,Tapentadol,Red apples,Red,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Relaxed, Confusion, Panic Attack, Agitation, Insomnia",Tapentadol,Carisoprodol,52.959979999999995,-1.43668
W049512,2024-03-18,TN9,Tapentadol,tapentadol,Orange,Tablet,Not Stated,Not Stated,Tapentadol,,51.1924,0.2753
W049514,2024-03-18,TN9,Tapentadol,Not Stated,White,Tablet,Not Stated,Not Stated,Tapentadol,Carisoprodol,51.1924,0.2753
W049664,2024-03-25,RG20,Tapentadol,Tapentadol,White,Tablet,Oral,Relaxed,Tapentadol,"Paracetamol, Tramadol",51.41969111111111,-1.3471355555555555
W049836,2024-04-02,BH11,Tapentadol,Tapentadol,Orange,Tablet,Not Stated,Not Stated,Tapentadol,,50.7655,-1.9096
W049837,2024-04-02,BH11,Tapentadol,Tapentadol,White,Tablet,Not Stated,Not Stated,Tapentadol,,50.7655,-1.9096
W050679,2024-04-22,TS11,Tapentadol ,Not Stated,White,Tablet,Not Stated,Not Stated,Tapentadol,,54.57873333333333,-1.028166666666667
W050680,2024-04-22,TS11,Tapentadol,Not Stated,Orange,Tablet,Not Stated,Not Stated,Tapentadol,,54.57873333333333,-1.028166666666667
