,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W073845,13 Feb 2026,G83,HEROIN,Not Stated,Brown,Powder,Not Stated,Not Stated,"Paracetamol, Caffeine, Noscapine, Heroin, Etonitazene","6-MAM, Papaverine",56.03989166666666,-4.6006583333333335
W073552,06 Feb 2026,WF2,heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"N-pyrrolidino protonitazene, Paracetamol, N-propionitrile chlorphine, Heroin, Medetomidine, Caffeine, Noscapine","N-desethylprotonitazene, Etodezitramide, 6-MAM, Papaverine",53.66534,-1.51568
W073006,03 Feb 2026,ST87,Oxycodone,v48/12,Blue,Tablet,Oral,Relaxed,AB-MDMSBA,Metonitazene,53.11565714285714,-2.169114285714286
W069103,28 Jan 2026,EH6,heroin,Heroin,"Grey, Brown",Plant Matter,Smoked,"No Effect, Increased Energy, Increased Confidence, Relaxed","Paracetamol, Noscapine, Caffeine, Heroin","Metonitazene, 6-Acetylcodeine, Papaverine, 6-MAM",55.9617,-3.1844
W073102,26 Jan 2026,BN25,Valium,Martin dow,Blue,Tablet,Oral,Relaxed,"Metonitazene, Bromazolam",,50.7807,0.095625
W073075,26 Jan 2026,EH48,Heroin,Not Stated,Brown,Powder,Snort / Sniff,Overdose,"Noscapine, Paracetamol, Diazepam, Caffeine, Etonitazene, Heroin","6-MAM, Papaverine",55.91305714285714,-3.6746285714285714
000234134,28 Jan 2026,NP20,Heroin,Not Stated,Brown,Liquid,Not Stated,Not Stated,"xylazine, Metonitazene, Phenacetin, Caffeine, Paracetamol","Protonitazene, 6-MAM, Noscapine, Cocaine, Heroin, 6-Acetylcodeine, Papaverine",51.5877,-2.9984
W073041,23 Jan 2026,SA43,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Bromazolam,Metonitazene,52.07603076923077,-4.6376
W072962,23 Jan 2026,NN12,heroin,Not Stated,Orange,Powder,Smoked,Not Stated,N-pyrrolidino protonitazene,,52.12114285714286,-1.03124
W072692,19 Jan 2026,EH3,Heroin,Not Stated,Brown,Powder,Not Stated,Not Stated,"Paracetamol, Noscapine, Heroin, 6-MAM","Caffeine, Papaverine, Etonitazene, 6-Acetylcodeine",55.9521,-3.1965
W072810,15 Jan 2026,BN25,VALIUM,MARTIN DOW,Blue,Tablet,Not Stated,Not Stated,"Metonitazene, Bromazolam",,50.7807,0.095625
W063076,15 Jan 2026,ML1,Heroin,Not Stated,"Orange, Pink",Powder,Smoked,"Breathlesness, Loss of consciousness, Overdose","Paracetamol, Noscapine, Caffeine, Heroin","6-MAM, Papaverine, Etonitazene",55.80563333333333,-3.95475
W069992,13 Jan 2026,EH76LD,heroin,heroin,"Grey, Brown",Powder,Intravenous,"Increased Confidence, Increased Stamina, Relaxed","Paracetamol, Noscapine, Caffeine, 6-Acetylcodeine","6-MAM, Papaverine, Metonitazene, Etonitazene",55.9521,-3.1965
W072423,13 Jan 2026,DH11,Nitazene ,M30 oxy,"White, Blue",Tablet,Not Stated,Not Stated,Metonitazene,,54.77482,-1.56714
W072421,06 Jan 2026,DH11,Metonitazene + etonitazene,artical heroin,"White, Grey",Powder,Not Stated,Not Stated,"Noscapine, Paracetamol, Heroin, Caffeine","Papaverine, 6-MAM",54.77482,-1.56714
W069097,10 Mar 2026,EH15,HEROIN,Not Stated,Brown,Powder,Smoked,"Nausea, Vomiting, Memory Loss","Paracetamol, Caffeine, Noscapine, Etonitazene, Heroin","6-MAM, Papaverine",55.948033333333335,-3.1120666666666668
W069096,10 Mar 2026,EH3,HEROIN,Not Stated,Brown,Powder,Intravenous,"Memory Loss, Confusion, Loss of consciousness","Noscapine, Paracetamol, Heroin, Caffeine, 6-MAM","6-Acetylcodeine, Metonitazene, Papaverine",55.9521,-3.1965
W074528,09 Mar 2026,EH32,Heroin,Not Stated,Brown,Powder,Not Stated,Relaxed,"Paracetamol, Caffeine, Etonitazene, Heroin","Morphine, Papaverine",55.97811428571429,-2.9193571428571423
000233528,17 Feb 2026,NP20,HEROIN,Not Stated,Brown,Powder,Not Stated,Not Stated,xylazine,"Phenacetin, Metonitazene, Paracetamol, Caffeine, Protonitazene, nitrazolam, Bromazolam, Noscapine, 6-MAM",51.5877,-2.9984
